order,id,source_id,label,platform,manufacturer,launch_month,package_filter
0,fc,fc,ファミリーコンピュータ,Family Computer,Nintendo,1983-07,
1,fds,fds,ファミコンディスクシステム,Famicom Disk System,Nintendo,1986-02,
2,pce,pce,PCエンジン,PC Engine,NEC / Hudson,1987-10,
3,md,md,メガドライブ,Mega Drive,SEGA,1988-10,
4,gb,gb,ゲームボーイ,Game Boy,Nintendo,1989-04,
5,gg,gg,ゲームギア,Game Gear,SEGA,1990-10,
6,sfc,sfc,スーパーファミコン,Super Famicom,Nintendo,1990-11,
7,neogeo,neogeo,ネオジオ,Neo Geo,SNK,1991-07,
8,saturn,saturn,セガサターン,Sega Saturn,SEGA,1994-11,
9,ps1,ps1,PlayStation,PlayStation,Sony,1994-12,
10,n64,n64,Nintendo 64,Nintendo 64,Nintendo,1996-06,
11,ngp,ngp,ネオジオポケット,Neo Geo Pocket,SNK,1998-10,
12,dc,dc,ドリームキャスト,Dreamcast,SEGA,1998-11,
13,ws,ws,ワンダースワン,WonderSwan,Bandai,1999-03,
14,ps2,ps2,PlayStation 2,PlayStation 2,Sony,2000-03,
15,gba,gba,ゲームボーイアドバンス,Game Boy Advance,Nintendo,2001-03,
16,gc,gc,ニンテンドーゲームキューブ,GameCube,Nintendo,2001-09,
17,xbox,xbox,Xbox,Xbox,Microsoft,2002-02,
18,ds,ds,ニンテンドーDS,Nintendo DS,Nintendo,2004-12,
19,psp,psp,PSP,PSP,Sony,2004-12,
20,xbox360,xbox360,Xbox 360,Xbox 360,Microsoft,2005-12,
21,ps3,ps3,PlayStation 3,PlayStation 3,Sony,2006-11,
22,wii,wii,Wii,Wii,Nintendo,2006-12,
23,3ds,3ds,ニンテンドー3DS,Nintendo 3DS,Nintendo,2011-02,
24,vita,vita,PlayStation Vita,PlayStation Vita,Sony,2011-12,
25,wiiu,wiiu,Wii U,Wii U,Nintendo,2012-12,
26,ps4,ps4,PlayStation 4,PlayStation 4,Sony,2014-02,
27,xboxone,xboxone,Xbox One,Xbox One,Microsoft,2014-09,
28,switch,switch,Nintendo Switch,Nintendo Switch,Nintendo,2017-03,
29,switchpkg,switch,Nintendo Switch（パッケージあり）,Nintendo Switch (package available),Nintendo,2017-03,true
30,xboxseries,xboxseries,Xbox Series X/S,Xbox Series X/S,Microsoft,2020-11,
31,ps5,ps5,PlayStation 5,PlayStation 5,Sony,2020-11,
