id,source_id,raw_rows,normalized_titles,invalid_date_rows,filename,author,title,url,container,accessed,note
fc,fc,1053,1052,,,game-soft,famicom/data/soft_list.csv,https://raw.githubusercontent.com/game-soft/famicom/master/data/soft_list.csv,GitHub repository data file,2026-09-11,取得CSVを日本発売月単位に正規化。
fds,fds,200,200,,,game-soft,disk-system/data/soft_list.csv,https://raw.githubusercontent.com/game-soft/disk-system/master/data/soft_list.csv,GitHub repository data file,2026-09-11,取得CSVを日本発売月単位に正規化。
pce,pce,650,648,,,game-soft,pc-engine/data/soft_list.csv,https://raw.githubusercontent.com/game-soft/pc-engine/master/data/soft_list.csv,GitHub repository data file,2026-09-11,取得CSVを日本発売月単位に正規化。
md,md,555,549,,,game-soft,mega-drive/data/soft_list.csv,https://raw.githubusercontent.com/game-soft/mega-drive/master/data/soft_list.csv,GitHub repository data file,2026-09-11,取得CSVを日本発売月単位に正規化。
gb,gb,1244,1243,,,game-soft,gameboy/data/soft_list.csv,https://raw.githubusercontent.com/game-soft/gameboy/master/data/soft_list.csv,GitHub repository data file,2026-09-11,取得CSVを日本発売月単位に正規化。
gg,gg,196,196,,,game-soft,gamegear/data/soft_list.csv,https://raw.githubusercontent.com/game-soft/gamegear/master/data/soft_list.csv,GitHub repository data file,2026-09-11,取得CSVを日本発売月単位に正規化。
sfc,sfc,1447,1447,,,game-soft,super-famicom/data/soft_list.csv,https://raw.githubusercontent.com/game-soft/super-famicom/master/data/soft_list.csv,GitHub repository data file,2026-09-11,取得CSVを日本発売月単位に正規化。
neogeo,neogeo,117,106,,,game-soft,neogeo/data/soft_list.csv,https://raw.githubusercontent.com/game-soft/neogeo/master/data/soft_list.csv,GitHub repository data file,2026-09-11,取得CSVを日本発売月単位に正規化。
saturn,saturn,1057,1057,,,sakanaclub,game-ss.csv,https://sakanaclub.xsrv.jp/laravel-sports-hp/public/data/game-ss.csv,Japanese game release dataset,2026-09-11,取得CSVを日本発売月単位に正規化。
ps1,ps1,3289,3288,,,Wikipedia contributors,PlayStationのゲームタイトル一覧（年別分割ページを含む）,https://ja.wikipedia.org/wiki/PlayStationのゲームタイトル一覧,"Wikipedia, the free encyclopedia",2026-09-11,年別一覧から日本発売日を抽出し、同一タイトルの重複を初回発売日に統合。
