platform,source_id,month_index,calendar_month,all_titles,package_titles,package_flag_coverage
Family Computer,fc,0,1983-07,3,3,1.0
Family Computer,fc,1,1983-08,2,2,1.0
Family Computer,fc,2,1983-09,1,1,1.0
Family Computer,fc,3,1983-10,0,0,
Family Computer,fc,4,1983-11,1,1,1.0
Family Computer,fc,5,1983-12,2,2,1.0
Family Computer,fc,6,1984-01,1,1,1.0
Family Computer,fc,7,1984-02,2,2,1.0
Family Computer,fc,8,1984-03,0,0,
Family Computer,fc,9,1984-04,1,1,1.0
Family Computer,fc,10,1984-05,1,1,1.0
Family Computer,fc,11,1984-06,2,2,1.0
Family Computer,fc,12,1984-07,3,3,1.0
Family Computer,fc,13,1984-08,0,0,
Family Computer,fc,14,1984-09,1,1,1.0
Family Computer,fc,15,1984-10,1,1,1.0
Family Computer,fc,16,1984-11,8,8,1.0
Family Computer,fc,17,1984-12,0,0,
Family Computer,fc,18,1985-01,2,2,1.0
Family Computer,fc,19,1985-02,4,4,1.0
Family Computer,fc,20,1985-03,0,0,
Family Computer,fc,21,1985-04,6,6,1.0
Family Computer,fc,22,1985-05,2,2,1.0
Family Computer,fc,23,1985-06,7,7,1.0
Family Computer,fc,24,1985-07,7,7,1.0
Family Computer,fc,25,1985-08,7,7,1.0
Family Computer,fc,26,1985-09,5,5,1.0
Family Computer,fc,27,1985-10,2,2,1.0
Family Computer,fc,28,1985-11,10,10,1.0
Family Computer,fc,29,1985-12,17,17,1.0
Family Computer,fc,30,1986-01,1,1,1.0
Family Computer,fc,31,1986-02,2,2,1.0
Family Computer,fc,32,1986-03,6,6,1.0
Family Computer,fc,33,1986-04,12,12,1.0
Family Computer,fc,34,1986-05,2,2,1.0
Family Computer,fc,35,1986-06,7,7,1.0
Family Computer,fc,36,1986-07,4,4,1.0
Family Computer,fc,37,1986-08,6,6,1.0
Family Computer,fc,38,1986-09,10,10,1.0
Family Computer,fc,39,1986-10,5,5,1.0
Family Computer,fc,40,1986-11,11,11,1.0
Family Computer,fc,41,1986-12,20,20,1.0
Family Computer,fc,42,1987-01,4,4,1.0
Family Computer,fc,43,1987-02,5,5,1.0
Family Computer,fc,44,1987-03,8,8,1.0
Family Computer,fc,45,1987-04,7,7,1.0
Family Computer,fc,46,1987-05,3,3,1.0
Family Computer,fc,47,1987-06,9,9,1.0
Family Computer,fc,48,1987-07,11,11,1.0
Family Computer,fc,49,1987-08,13,13,1.0
Family Computer,fc,50,1987-09,12,12,1.0
Family Computer,fc,51,1987-10,12,12,1.0
Family Computer,fc,52,1987-11,7,7,1.0
Family Computer,fc,53,1987-12,27,27,1.0
Family Computer,fc,54,1988-01,6,6,1.0
Family Computer,fc,55,1988-02,10,10,1.0
Family Computer,fc,56,1988-03,14,14,1.0
Family Computer,fc,57,1988-04,8,8,1.0
Family Computer,fc,58,1988-05,8,8,1.0
Family Computer,fc,59,1988-06,6,6,1.0
Family Computer,fc,60,1988-07,14,14,1.0
Family Computer,fc,61,1988-08,16,16,1.0
Family Computer,fc,62,1988-09,10,10,1.0
Family Computer,fc,63,1988-10,8,8,1.0
Family Computer,fc,64,1988-11,11,11,1.0
Family Computer,fc,65,1988-12,31,31,1.0
Family Computer,fc,66,1989-01,11,11,1.0
Family Computer,fc,67,1989-02,11,11,1.0
Family Computer,fc,68,1989-03,13,13,1.0
Family Computer,fc,69,1989-04,9,9,1.0
Family Computer,fc,70,1989-05,7,7,1.0
Family Computer,fc,71,1989-06,5,5,1.0
Family Computer,fc,72,1989-07,15,15,1.0
Family Computer,fc,73,1989-08,9,9,1.0
Family Computer,fc,74,1989-09,13,13,1.0
Family Computer,fc,75,1989-10,10,10,1.0
Family Computer,fc,76,1989-11,10,10,1.0
Family Computer,fc,77,1989-12,34,34,1.0
Family Computer,fc,78,1990-01,4,4,1.0
Family Computer,fc,79,1990-02,10,10,1.0
Family Computer,fc,80,1990-03,16,16,1.0
Family Computer,fc,81,1990-04,12,12,1.0
Family Computer,fc,82,1990-05,6,6,1.0
Family Computer,fc,83,1990-06,7,7,1.0
Family Computer,fc,84,1990-07,17,17,1.0
Family Computer,fc,85,1990-08,19,19,1.0
Family Computer,fc,86,1990-09,13,13,1.0
Family Computer,fc,87,1990-10,12,12,1.0
Family Computer,fc,88,1990-11,9,9,1.0
Family Computer,fc,89,1990-12,32,32,1.0
Family Computer,fc,90,1991-01,7,7,1.0
Family Computer,fc,91,1991-02,12,12,1.0
Family Computer,fc,92,1991-03,16,16,1.0
Family Computer,fc,93,1991-04,15,15,1.0
Family Computer,fc,94,1991-05,8,8,1.0
Family Computer,fc,95,1991-06,8,8,1.0
Family Computer,fc,96,1991-07,12,12,1.0
Family Computer,fc,97,1991-08,14,14,1.0
Family Computer,fc,98,1991-09,9,9,1.0
Family Computer,fc,99,1991-10,7,7,1.0
Family Computer,fc,100,1991-11,11,11,1.0
Family Computer,fc,101,1991-12,31,31,1.0
Family Computer,fc,102,1992-01,10,10,1.0
Family Computer,fc,103,1992-02,5,5,1.0
Family Computer,fc,104,1992-03,13,13,1.0
Family Computer,fc,105,1992-04,6,6,1.0
Family Computer,fc,106,1992-05,2,2,1.0
Family Computer,fc,107,1992-06,8,8,1.0
Family Computer,fc,108,1992-07,10,10,1.0
Family Computer,fc,109,1992-08,6,6,1.0
Family Computer,fc,110,1992-09,6,6,1.0
Family Computer,fc,111,1992-10,6,6,1.0
Family Computer,fc,112,1992-11,7,7,1.0
Family Computer,fc,113,1992-12,16,16,1.0
Family Computer,fc,114,1993-01,4,4,1.0
Family Computer,fc,115,1993-02,4,4,1.0
Family Computer,fc,116,1993-03,12,12,1.0
Family Computer,fc,117,1993-04,6,6,1.0
Family Computer,fc,118,1993-05,1,1,1.0
Family Computer,fc,119,1993-06,3,3,1.0
Family Computer,fc,120,1993-07,4,4,1.0
Family Computer,fc,121,1993-08,3,3,1.0
Family Computer,fc,122,1993-09,2,2,1.0
Family Computer,fc,123,1993-10,3,3,1.0
Family Computer,fc,124,1993-11,3,3,1.0
Family Computer,fc,125,1993-12,7,7,1.0
Family Computer,fc,126,1994-01,0,0,
Family Computer,fc,127,1994-02,3,3,1.0
Family Computer,fc,128,1994-03,0,0,
Family Computer,fc,129,1994-04,1,1,1.0
Family Computer,fc,130,1994-05,2,2,1.0
Family Computer,fc,131,1994-06,1,1,1.0
Famicom Disk System,fds,0,1986-02,7,7,1.0
Famicom Disk System,fds,1,1986-03,0,0,
Famicom Disk System,fds,2,1986-04,1,1,1.0
Famicom Disk System,fds,3,1986-05,0,0,
Famicom Disk System,fds,4,1986-06,1,1,1.0
Famicom Disk System,fds,5,1986-07,2,2,1.0
Famicom Disk System,fds,6,1986-08,2,2,1.0
Famicom Disk System,fds,7,1986-09,3,3,1.0
Famicom Disk System,fds,8,1986-10,2,2,1.0
Famicom Disk System,fds,9,1986-11,6,6,1.0
Famicom Disk System,fds,10,1986-12,10,10,1.0
Famicom Disk System,fds,11,1987-01,3,3,1.0
Famicom Disk System,fds,12,1987-02,3,3,1.0
Famicom Disk System,fds,13,1987-03,10,10,1.0
Famicom Disk System,fds,14,1987-04,8,8,1.0
Famicom Disk System,fds,15,1987-05,8,8,1.0
Famicom Disk System,fds,16,1987-06,6,6,1.0
Famicom Disk System,fds,17,1987-07,6,6,1.0
Famicom Disk System,fds,18,1987-08,6,6,1.0
Famicom Disk System,fds,19,1987-09,2,2,1.0
Famicom Disk System,fds,20,1987-10,8,8,1.0
Famicom Disk System,fds,21,1987-11,3,3,1.0
Famicom Disk System,fds,22,1987-12,7,7,1.0
Famicom Disk System,fds,23,1988-01,3,3,1.0
Famicom Disk System,fds,24,1988-02,3,3,1.0
Famicom Disk System,fds,25,1988-03,7,7,1.0
Famicom Disk System,fds,26,1988-04,7,7,1.0
Famicom Disk System,fds,27,1988-05,1,1,1.0
Famicom Disk System,fds,28,1988-06,3,3,1.0
Famicom Disk System,fds,29,1988-07,7,7,1.0
Famicom Disk System,fds,30,1988-08,5,5,1.0
Famicom Disk System,fds,31,1988-09,3,3,1.0
Famicom Disk System,fds,32,1988-10,6,6,1.0
Famicom Disk System,fds,33,1988-11,6,6,1.0
Famicom Disk System,fds,34,1988-12,4,4,1.0
Famicom Disk System,fds,35,1989-01,2,2,1.0
Famicom Disk System,fds,36,1989-02,4,4,1.0
Famicom Disk System,fds,37,1989-03,4,4,1.0
Famicom Disk System,fds,38,1989-04,1,1,1.0
Famicom Disk System,fds,39,1989-05,2,2,1.0
Famicom Disk System,fds,40,1989-06,2,2,1.0
Famicom Disk System,fds,41,1989-07,0,0,
Famicom Disk System,fds,42,1989-08,1,1,1.0
Famicom Disk System,fds,43,1989-09,0,0,
Famicom Disk System,fds,44,1989-10,2,2,1.0
Famicom Disk System,fds,45,1989-11,2,2,1.0
Famicom Disk System,fds,46,1989-12,0,0,
Famicom Disk System,fds,47,1990-01,0,0,
Famicom Disk System,fds,48,1990-02,0,0,
Famicom Disk System,fds,49,1990-03,1,1,1.0
Famicom Disk System,fds,50,1990-04,1,1,1.0
Famicom Disk System,fds,51,1990-05,2,2,1.0
Famicom Disk System,fds,52,1990-06,2,2,1.0
Famicom Disk System,fds,53,1990-07,2,2,1.0
Famicom Disk System,fds,54,1990-08,1,1,1.0
Famicom Disk System,fds,55,1990-09,1,1,1.0
Famicom Disk System,fds,56,1990-10,1,1,1.0
Famicom Disk System,fds,57,1990-11,1,1,1.0
Famicom Disk System,fds,58,1990-12,1,1,1.0
Famicom Disk System,fds,59,1991-01,1,1,1.0
Famicom Disk System,fds,60,1991-02,1,1,1.0
