発売日,メーカー,タイトル,⭐クロスレビュー(評価),パッケージ併売,ジャンル,開発元,ID,販売本数,プラットフォーム
2011-02-26,任天堂,nintendogs + cats トイ・プードル & Newフレンズ,2,YES,その他,任天堂,0,1,その他
2011-02-26,任天堂,nintendogs + cats フレンチ・ブル & Newフレンズ,2,YES,その他,任天堂,0,1,その他
2011-02-26,任天堂,nintendogs + cats 柴 & NewフレンズNintendogs + Cats: Golden Retriever & New Friends,2,YES,その他,任天堂,0,1,その他
2011-02-26,スクウェア・エニックス,とびだす!パズルボブル 3D Bust-a-Move Universe,2,YES,その他,スクウェア・エニックス,0,1,その他
2011-02-26,コナミデジタルエンタテインメント,ウイニングイレブン 3DSoccerPro Evolution Soccer 2011,2,YES,その他,コナミデジタルエンタテインメント,0,1,その他
2011-02-26,ユービーアイソフト,コンバット オブ ジャイアント ダイナソー3D,2,YES,その他,ユービーアイソフト,0,1,その他
2011-02-26,カプコン,スーパーストリートファイターIV 3D EDITION,2,YES,その他,カプコン,0,1,その他
2011-02-26,バンダイナムコゲームス,リッジレーサー3D,2,YES,その他,バンダイナムコゲームス,0,1,その他
2011-02-26,レベルファイブNintendo,レイトン教授と奇跡の仮面 Professor Layton and the Miracle Mask,2,YES,その他,レベルファイブNintendo,0,1,その他
2011-02-26,コーエーテクモゲームス,戦国無双 ChronicleSamurai Warriors: Chronicles,2,YES,その他,コーエーテクモゲームス,0,1,その他
2011-03-03,セガ,スーパーモンキーボール3D,2,YES,その他,セガ,0,1,その他
2011-03-03,サンソフト 北米: Atlus,上海3DキューブMahjong Cub3d,2,YES,その他,サンソフト 北米: Atlus,0,1,その他
2011-03-10,コナミデジタルエンタテインメント Ubisoft,ASPHALT 3D:NITRO RACING Asphalt 3D,2,YES,その他,コナミデジタルエンタテインメント Ubisoft,0,1,その他
2011-03-17,ユービーアイソフト,スプリンターセル 3DTom Clancy's Splinter Cell 3D,2,YES,その他,ユービーアイソフト,0,1,その他
2011-03-24,バンダイナムコゲームス,GUNDAM THE 3D BATTLE,2,YES,その他,バンダイナムコゲームス,0,1,その他
2011-03-24,ユービーアイソフト,ラビッツ タイム・トラベル,2,YES,その他,ユービーアイソフト,0,1,その他
2011-03-31,アークシステムワークス Aksys Games,BLAZBLUE CONTINUUM SHIFT II,2,YES,その他,アークシステムワークス Aksys Games,0,1,その他
2011-03-31,タカラトミー 505 Games,NARUTO -ナルト- 疾風伝 忍立体絵巻! 最強忍界決戦!!（英語版） Naruto Shippūden 3D: The New Era,2,YES,その他,タカラトミー 505 Games,0,1,その他
2011-03-31,ドラス,ウイルスシューターXX,2,YES,その他,ドラス,0,1,その他
2011-03-31,ハムスター,ニコリの数独3D 〜8つのパズルで1000問〜,2,YES,その他,ハムスター,0,1,その他
2011-03-31,バンダイナムコゲームス,プロ野球 ファミスタ2011,2,YES,その他,バンダイナムコゲームス,0,1,その他
2011-04-01,エレクトロニック・アーツ,ザ・シムズ3,2,YES,その他,エレクトロニック・アーツ,0,1,その他
2011-04-07,AQインタラクティブ Ubisoft,Cubic Ninja,2,YES,その他,AQインタラクティブ Ubisoft,0,1,その他
2011-04-07,IEインスティテュート,空間さがしもの系 脳力開発 3D脳トレーニング,2,YES,その他,IEインスティテュート,0,1,その他
2011-04-14,任天堂,パイロットウイングス リゾート Pilotwings Resort,2,YES,その他,任天堂,0,1,その他
2011-04-14,コナミデジタルエンタテインメント,プロ野球スピリッツ2011,2,YES,その他,コナミデジタルエンタテインメント,0,1,その他
2011-04-28,ハドソン Konami,DECA SPORTA 3D SPORTS Deca Sports Extreme,2,YES,その他,ハドソン Konami,0,1,その他
2011-05-12,任天堂,スティールダイバー,2,YES,その他,任天堂,0,1,その他
2011-05-19,マーベラスエンターテイメント Ubisoft,アニマルリゾート 動物園をつくろう!! Zoo Resort 3D,2,YES,その他,マーベラスエンターテイメント Ubisoft,0,1,その他
2011-05-19,ユービーアイソフト,ゴーストリコン シャドーウォー（英語版） Tom Clancy's Ghost Recon: Shadow Wars,2,YES,その他,ユービーアイソフト,0,1,その他
2011-05-19,コーエーテクモゲームス 欧州: Nintendo,デッド オア アライブ ディメンションズ,2,YES,その他,コーエーテクモゲームス 欧州: Nintendo,0,1,その他
2011-05-26,バンダイナムコゲームス,ONE PIECE アンリミテッドクルーズ スペシャル,2,YES,その他,バンダイナムコゲームス,0,1,その他
2011-06-02,バンダイナムコゲームス,タッチ!ダブルペンスポーツDualPenSports,2,YES,その他,バンダイナムコゲームス,0,1,その他
2011-06-02,カプコン,バイオハザード ザ・マーセナリーズ 3DResident Evil: The Mercenaries 3D,2,YES,その他,カプコン,0,1,その他
2011-06-02,ハドソン 北米: Konami,数独と3つのパズル 〜ニコリのパズルバラエティ〜 北米: Nikoli's Pencil Puzzle 欧州: Sudoku - The Puzzle Game Collection,2,YES,その他,ハドソン 北米: Konami,0,1,その他
2011-06-07,任天堂,3Dクラシックス エキサイトバイク,2,,その他,任天堂,0,1,その他
2011-06-07,任天堂,3Dクラシックス ゼビウス,2,,その他,任天堂,0,1,その他
2011-06-07,シルバースタージャパン,3Dブロック崩し,2,,その他,シルバースタージャパン,0,1,その他
2011-06-07,アークシステムワークス,ARC STYLE: さっかー!!3D,2,,その他,アークシステムワークス,0,1,その他
2011-06-07,ポイソフト Nintendo,ひゅ〜ストン Kersploosh!,2,,その他,ポイソフト Nintendo,0,1,その他
2011-06-07,アークシステムワークス,オセロ3D,2,,その他,アークシステムワークス,0,1,その他
2011-06-07,ハムスター,ニコリのパズル 数独 Sudoku by Nikoli,2,,その他,ハムスター,0,1,その他
2011-06-07,Gモード,ミステリー P.I. 〜消えたフィルム〜,2,,その他,Gモード,0,1,その他
2011-06-09,アスキー・メディアワークス Agetec（英語版）,FISH ON,2,YES,その他,アスキー・メディアワークス Agetec（英語版）,0,1,その他
2011-06-16,任天堂,ゼルダの伝説 時のオカリナ 3DThe Legend of Zelda: Ocarina of Time 3D,2,YES,その他,任天堂,0,1,その他
2011-06-17,ポケモン Nintendo,ポケモン立体図鑑BWPokédex 3D,2,,その他,ポケモン Nintendo,0,1,その他
2011-06-23,マーベラスエンターテイメントNatsume（英語版）,Fish Eyes 3DReel Fishing Paradise 3D,2,YES,その他,マーベラスエンターテイメントNatsume（英語版）,0,1,その他
2011-06-23,バンダイナムコゲームス,パックマン&ギャラガ ディメンションズ,2,YES,その他,バンダイナムコゲームス,0,1,その他
2011-06-29,ディースリー・パブリッシャー,@SIMPLE DLシリーズ Vol.1 THE 密室からの脱出 〜不思議なクマドナルバーガー編〜,2,,その他,ディースリー・パブリッシャー,0,1,その他
2011-06-29,シルバースタージャパン Agetec,ラビラビ外伝 Witch's Cat Witch's Cat,2,,その他,シルバースタージャパン Agetec,0,1,その他
2011-06-30,バンダイナムコゲームス,テイルズ オブ ジ アビス,2,YES,その他,バンダイナムコゲームス,0,1,その他
