発売日,メーカー,タイトル,⭐クロスレビュー(評価),パッケージ併売,ジャンル,開発元,未使用,販売本数,プラットフォーム
1998-11-27,フォーティファイブ,July,2,,その他,フォーティファイブ,0,1,Dreamcast
1998-11-27,セガ,ゴジラ・ジェネレーションズ,2,,その他,セガ,0,1,Dreamcast
1998-11-27,セガ,バーチャファイター3tb,2,,その他,セガ,0,1,Dreamcast
1998-11-27,ゼネラル・エンタテイメントInfogrames,ペンペントライアイスロン,2,,その他,ゼネラル・エンタテイメントInfogrames,0,1,Dreamcast
1998-12-17,イマジニアInterplay Entertainment,インカミング 人類最終決戦Incoming,2,,その他,イマジニアInterplay Entertainment,0,1,Dreamcast
1998-12-23,BPS,TETRIS 4D,2,,その他,BPS,0,1,Dreamcast
1998-12-23,NECホームエレクトロニクスUFO Interactive Games,セヴンスクロスSeventh Cross: Evolution,2,,その他,NECホームエレクトロニクスUFO Interactive Games,0,1,Dreamcast
1998-12-23,セガ,ソニックアドベンチャー,2,,その他,セガ,0,1,Dreamcast
1999-01-14,NECホームエレクトロニクス,戦国TURB,2,,その他,NECホームエレクトロニクス,0,1,Dreamcast
1999-01-21,セガUbisoft,神機世界エヴォリューションEvolution,2,,その他,セガUbisoft,0,1,Dreamcast
1999-01-28,セガ,セガラリー2,2,,その他,セガ,0,1,Dreamcast
1999-02-25,カプコン,パワーストーン,2,,その他,カプコン,0,1,Dreamcast
1999-02-25,コナミ,ポップンミュージック,2,,その他,コナミ,0,1,Dreamcast
1999-03-04,セガ,ぷよぷよ〜ん,2,,その他,セガ,0,1,Dreamcast
1999-03-04,CRICrave Entertainment,エアロダンシング featuring Blue ImpulseAeroWings,2,,その他,CRICrave Entertainment,0,1,Dreamcast
1999-03-04,タイトー,サイキックフォース2012,2,,その他,タイトー,0,1,Dreamcast
1999-03-04,コーエー,麻雀大会II Special,2,,その他,コーエー,0,1,Dreamcast
