id,release_date,title,publisher,bit_memory,price
1,1986-02-21,ゼルダの伝説,任天堂, ,2600
2,1986-02-21,スーパーマリオブラザーズ,任天堂, ,2500
3,1986-02-21,ゴルフ,任天堂, ,2500
4,1986-02-21,サッカー,任天堂, ,2500
5,1986-02-21,テニス,任天堂, ,2500
6,1986-02-21,ベースボール,任天堂, ,2500
7,1986-02-21,麻雀,任天堂, ,2500
8,1986-04-14,謎の村雨城,任天堂, ,2600
9,1986-06-03,スーパーマリオブラザーズ2,任天堂, ,2500
10,1986-07-21,バレーボール,任天堂, ,2500
11,1986-07-30,涙の倉庫番スペシャル,アスキー, ,2980
12,1986-08-06,メトロイド,任天堂, ,2600
13,1986-08-27,アイアムアティーチャー スーパーマリオのセーター,ロイヤル工業, ,2900
14,1986-09-19,子猫物語,ポニーキャニオン, ,2900
15,1986-09-26,悪魔城ドラキュラ,コナミ, ,2980
16,1986-09-26,アイアムアティーチャー 手あみのきそ,ロイヤル工業, ,2900
17,1986-10-13,オセロ,河田, ,2980
18,1986-10-21,プロレス,任天堂, ,2500
19,1986-11-06,銀河伝承,イマジニア, ,5000
20,1986-11-19,ガルフォース,HAL研究所, ,2980
21,1986-11-20,デッドゾーン,サンソフト[サン電子], ,2980
22,1986-11-21,もえろツインビー シナモン博士を救え!,コナミ, ,3100
23,1986-11-28,きね子,アイレム, ,3300
24,1986-11-28,ザナック,ポニーキャニオン, ,2900
25,1986-12-12,アディアンの杖,サンソフト[サン電子], ,4900
26,1986-12-13,謎の壁 ブロックくずし,コナミ, ,2980
27,1986-12-15,水晶の龍,DOG（スクウェア）, ,3400
28,1986-12-15,ブリーダー,ソフトプロ, ,2980
29,1986-12-19,光神話 パルテナの鏡,任天堂, ,2600
30,1986-12-19,ディープダンジョン 魔洞戦記,DOG（ハミングバードソフト）, ,3400
31,1986-12-19,ナイト・ロアー,ジャレコ, ,3200
32,1986-12-20,消えたプリンセス,イマジニア, ,5000
33,1986-12-25,プロフェッショナル麻雀悟空,アスキー, ,2980
34,1986-12-26,エレクトリシャン,KEMCO[コトブキシステム], ,2980
35,1987-01-14,リンクの冒険,任天堂, ,2600
36,1987-01-29,ウルトラマン 怪獣帝国の逆襲,バンダイ, ,3300
37,1987-01-29,エッガーランド,HAL研究所, ,2900
38,1987-02-06,ナゾラーランド 創刊号,サンソフト[サン電子], ,2900
39,1987-02-20,エスパードリーム,コナミ, ,2980
40,1987-02-21,ゴルフJAPANコース,任天堂, ,3500
41,1987-03-01,きね子II,アイレム, ,500
42,1987-03-03,メルヘンヴェール,サンソフト[サン電子], ,3200
43,1987-03-05,スーパーロードランナー,アイレム, ,3100
44,1987-03-12,とびだせ大作戦,DOG（スクウェア）, ,3400
