id,release_date,title,publisher,bit_memory,price
1,1989-04-21,スーパーマリオランド,任天堂,512K,2600
2,1989-04-21,ベースボール,任天堂,512K,2600
3,1989-04-21,役満,任天堂,256K,2600
4,1989-04-21,アレイウェイ,任天堂,256K,2600
5,1989-05-29,テニス,任天堂,256K,2600
6,1989-06-14,テトリス,任天堂,256K,2600
7,1989-07-28,上海,HAL研究所,256K,2980
8,1989-09-01,倉庫番,ポニーキャニオン,256K,3090
9,1989-09-05,ミッキーマウス,KEMCO,512K,2980
10,1989-09-20,モトクロスマニアックス,コナミ,256K,2900
11,1989-09-21,ハイパーロードランナー,バンダイ,256K,2800
12,1989-10-18,ピンボール66匹のワニ大行進,HAL研究所,512K,2980
13,1989-10-27,ドラキュラ伝説,コナミ,512K,3300
14,1989-10-31,シーサイドバレー,トンキンハウス,512K,2980
15,1989-11-24,パズルボーイ,アトラス,256K,2980
16,1989-11-28,ゴルフ,任天堂,1M,2600
17,1989-12-08,パチンコタイム,ココナッツジャパン,512K,3280
18,1989-12-15,魔界塔士Sa・Ga,スクウェア,1M,3500
19,1989-12-19,将棋,ポニーキャニオン,1M,3400
20,1989-12-22,海戦ゲーム NAVY BLUE,ユース,512K,3400
21,1989-12-22,キュービリオン,セタ,256K,2980
22,1989-12-22,北斗の拳 凄絶十番勝負,東映動画,1M,3500
23,1989-12-27,てけてけ!アスミッくんワールド,アスミック,512K,3090
24,1989-12-28,セレクション 選ばれし者,KEMCO,1M,3090
25,1989-12-28,マスターカラテカ,新正工業,256K,2900
26,1990-01-12,ヒーロー集合!! ピンボールパーティ,ジャレコ,512K,2980
27,1990-01-13,ワールドボウリング,アテナ,256K,3090
28,1990-01-14,平安京エイリアン,メルダック,256K,3000
29,1990-01-26,ソーラーストライカー,任天堂,512K,2600
30,1990-02-09,オセロ,河田,256K,2980
31,1990-02-23,対局連珠,トーワチキ,512K,2980
32,1990-02-23,ネメシス,コナミ,1M,3500
33,1990-03-15,ベースボールキッズ,ジャレコ,1M,3300
34,1990-03-16,クォース,コナミ,512K,3300
35,1990-03-16,フリップル,タイトー,256K,3090
36,1990-03-21,ペンギンランド,ポニーキャニオン,256K,3090
37,1990-03-23,フラッピー・スペシャル,ビクター音楽産業,256K,3300
38,1990-03-24,SDガンダム SD戦国伝 国盗り物語,バンダイ,1M,3500
39,1990-03-29,トランプボーイ,パック・イン・ビデオ,256K,3090
40,1990-03-30,スペースインベーダーズ,タイトー,256K,3090
41,1990-03-30,ぺんぎんくんWARS vs.,アスキー,512K,3090
42,1990-04-06,かこむん蛇,ナグザット,256K,3090
43,1990-04-13,クイックス,任天堂,512K,2600
44,1990-04-13,爆裂戦士ウォーリア,エポック社,512K,3090
45,1990-04-13,バットマン,サンソフト,512K,3400
46,1990-04-13,SDルパン三世 〜金庫破り大作戦〜,バンプレスト,512K,3300
47,1990-04-20,スーパーチャイニーズランド,カルチャーブレーン,512K,3300
48,1990-04-20,デッドヒート スクランブル,コピアシステム,512K,3300
49,1990-04-20,ブロディア,トンキンハウス,512K,3000
50,1990-04-20,冒険!パズルロード,ビック東海,256K,2980
51,1990-04-20,ポパイ,シグマ商事,1M,3500
52,1990-04-27,サッカーボーイ,EPIC・ソニー,512K,3000
53,1990-04-27,天神怪戦,メルダック,1M,3500
54,1990-04-28,スヌーピーのマジックショー,KEMCO,512K,2980
55,1990-05-02,レッドアリーマー 魔界村外伝,カプコン,1M,3300
56,1990-05-11,ロックンチェイス,DECO,512K,3300
57,1990-05-18,ボクシング,トンキンハウス,512K,3000
58,1990-05-25,あやかしの城,セタ,512K,3500
59,1990-05-26,ウルトラマン倶楽部 敵怪獣ヲ発見セヨ!,バンダイ,512K,3300
60,1990-06-01,PITMAN,アスク講談社,256K,2980
61,1990-06-08,コスモタンク,アトラス,1M,3500
62,1990-06-15,カード・ゲーム,ココナッツジャパン,512K,3400
63,1990-06-15,ZOIDS ゾイド伝説,トミー,512K,3090
64,1990-06-15,ファニーフィールド,SNK,512K,3090
65,1990-06-22,倉庫番2,ポニーキャニオン,256K,3090
66,1990-06-27,無頼戦士デラックス,タイトー,512K,3400
67,1990-06-29,バリーファイア,東映動画,256K,3200
68,1990-07-03,パイプドリーム,BPS,256K,3090
69,1990-07-13,四川省,アイレム,256K,3090
70,1990-07-20,ダブルドラゴン,テクノスジャパン,1M,3500
71,1990-07-27,ドクターマリオ,任天堂,256K,2600
72,1990-07-27,タスマニア物語,ポニーキャニオン,256K,3090
73,1990-07-28,らんま1/2 かくれんぼデスマッチ,バンプレスト,512K,3300
74,1990-07-31,パズニック,タイトー,512K,3400
75,1990-08-02,石道,アスキー,256K,3090
76,1990-08-03,ティーンエイジ・ミュータント・ニンジャ・タートルズ,コナミ,1M,3500
77,1990-08-04,魁!!男塾 冥鳳島決戦,ユタカ,1M,3500
78,1990-08-08,おさわがせ! ペンギンBOY,ナツメ,512K,3090
79,1990-08-10,VSバトラー,ユース,512K,3400
80,1990-08-11,香港,徳間書店,256K,2900
