id,release_date,title,publisher,bit_memory,price
1,2001-03-21,F-ZERO FOR GAMEBOY ADVANCE,任天堂,,4800
2,2001-03-21,くるくるくるりん,任天堂,,4800
3,2001-03-21,スーパーマリオアドバンス,任天堂,,4800
4,2001-03-21,ナポレオン,任天堂,,4800
5,2001-03-21,悪魔城ドラキュラ　−Circle of the Moon−,コナミ,,5800
6,2001-03-21,アドバンスGTA,エム・ティー・オー,,4980
7,2001-03-21,EZ-TALK 初級編 1 〜JAYのイングリッシュアドベンチャー〜,キーネット,,6000
8,2001-03-21,EZ-TALK 初級編 2 〜JAYのイングリッシュアドベンチャー〜,キーネット,,6000
9,2001-03-21,EZ-TALK 初級編 3 〜JAYのイングリッシュアドベンチャー〜,キーネット,,6000
10,2001-03-21,EZ-TALK 初級編 4 〜JAYのイングリッシュアドベンチャー〜,キーネット,,6000
11,2001-03-21,EZ-TALK 初級編 5 〜JAYのイングリッシュアドベンチャー〜,キーネット,,6000
12,2001-03-21,EZ-TALK 初級編 6 〜JAYのイングリッシュアドベンチャー〜,キーネット,,6000
13,2001-03-21,ウイニングポスト for ゲームボーイアドバンス,コーエー,,5600
14,2001-03-21,コナミ　ワイワイレーシング　アドバンス,コナミ,,5800
15,2001-03-21,JGTO公認GOLF MASTER JAPAN TOUR GOLF GAME,コナミ,,5800
16,2001-03-21,Jリーグポケット,コナミ,,5800
17,2001-03-21,全日本GT選手権,ケムコ,,5200
18,2001-03-21,チューチューロケット！,セガ,,4800
19,2001-03-21,トゥイティーのハーティーパーティー,ケムコ,,4980
20,2001-03-21,爆熱ドッジボールファイターズ,アトラス,,4980
21,2001-03-21,パワプロクンポケット3,コナミ,,5800
22,2001-03-21,ピノビィーの大冒険,ハドソン,,4800
23,2001-03-21,ファイヤープロレスリング A,スパイク,,5800
24,2001-03-21,プレイノベル サイレントヒル,コナミ,,5800
25,2001-03-21,ぼくは航空管制官,タム,,5800
26,2001-03-21,ミスタードリラー2,ナムコ,,4800
27,2001-03-21,桃太郎まつり,ハドソン,,5200
28,2001-03-21,モンスターガーディアンズ,コナミ,,5800
29,2001-03-21,遊戯王ダンジョンダイスモンスターズ,コナミ,,5800
30,2001-03-21,バトルネットワーク　ロックマン エグゼ,カプコン,,4800
31,2001-04-26,GetBackers奪還屋 〜地獄のスカラムーシュ〜,コナミ,,5800
32,2001-04-26,耽美夢想マイネリーベ,コナミ,,5800
33,2001-04-27,スペースヘキサイト 〜メーテル・レジェンドEX〜,ジョルダン,,5300
34,2001-04-27,ドラえもん　緑の惑星　ドキドキ大救出！,エポック社,,4800
35,2001-04-27,ボンバーマンストーリー,ハドソン,,5200
36,2001-05-25,ファイナルファイトONE,カプコン,,4800
37,2001-06-21,タクティクスオウガ外伝　The Knight of Lodis,任天堂,,4800
38,2001-06-28,トイロボフォース,GAE,,5200
39,2001-06-29,チョロQアドバンス,タカラ,,4800
40,2001-06-29,優駿ラプソディ〜♪,カプコン,,4800
41,2001-07-05,遊戯王デュエルモンスターズ5 エキスパート1,コナミ,,5800
42,2001-07-06,ブレス オブ ファイア　竜の戦士,カプコン,,4800
43,2001-07-12,麻雀刑事,ハドソン,,5200
44,2001-07-12,森田将棋あどばんす,ハドソン,,5800
45,2001-07-13,EXモノポリー,タカラ,,5800
46,2001-07-13,スーパーストリートファイターII X リバイバル,カプコン,,4800
47,2001-07-13,みんなの飼育シリーズ(1)　ぼくのカブト虫,エム・ティー・オー,,5200
48,2001-07-19,風のクロノア 〜夢見る帝国〜,ナムコ,,5300
49,2001-07-21,マリオカートアドバンス,任天堂,,4800
50,2001-07-26,筋肉番付〜金剛くんの大冒険〜,コナミ,,5800
51,2001-07-26,JGTO公認GOLF MASTER モバイル　JAPAN TOUR GOLF GAME,コナミ,,5800
52,2001-07-26,スタコミ　STAR★COMMUNICATOR,コナミ,,5800
53,2001-07-26,モバイルプロ野球　監督の采配,コナミ,,5800
54,2001-07-27,ゼロ・ツアーズ,メディアリング,,5480
55,2001-08-01,黄金の太陽　開かれし封印,任天堂,,4800
56,2001-08-03,ドカポンQ　モンスターハンター！,アスミック・エース・エンタテインメント,,4800
57,2001-08-03,みんなの飼育シリーズ(2)　ぼくのクワガタ,エム・ティー・オー,,5200
58,2001-08-09,ジュラシックパークIII　恐竜にあいにいこう！,コナミ,,5800
59,2001-08-10,極　麻雀デラックス　未来戦士21,アテナ,,5200
60,2001-08-10,スーパーブラックバスアドバンス,スターフィッシュ,,4800
61,2001-08-21,ワリオランドアドバンス　−ヨーキのお宝−,任天堂,,4800
62,2001-08-30,ジュラシックパークIII アドバンスドアクション,コナミ,,5800
63,2001-08-31,高校受験アドバンスシリーズ　英単語編,キーネット,,6800
64,2001-08-31,高校受験アドバンスシリーズ　英熟語編,キーネット,,6800
65,2001-08-31,高校受験アドバンスシリーズ　英語構文編,キーネット,,6800
66,2001-09-07,メダロット・ナビ カブト,ナツメ,,5800
67,2001-09-07,メダロット・ナビ クワガタ,ナツメ,,5800
68,2001-09-07,ラブひなアドバンス　祝福の鐘はなるかな,マーベラスエンターテイメント,,5800
69,2001-09-13,幻想水滸伝　カードストーリーズ,コナミ,,5800
70,2001-09-13,ロボットポンコッツ2　クロスバージョン,ハドソン,,5200
71,2001-09-13,ロボットポンコッツ2　リングバージョン,ハドソン,,5200
72,2001-09-20,FIELD OF NINE DIGITAL EDITION 2001,コナミ,,5800
73,2001-09-21,スーパーロボット大戦A,バンプレスト,,5800
74,2001-09-27,Z.O.E 2173 TESTAMENT,コナミ,,5800
75,2001-09-28,西原理恵子の殿堂麻雀,メディアリング,,4800
76,2001-09-28,信長の野望,コーエー,,6800
77,2001-10-04,ハテナサテナ,ハドソン,,5200
78,2001-10-05,奇々怪界あどばんす,アルトロン,,5200
79,2001-10-12,逆転裁判,カプコン,,4800
80,2001-10-18,みんなでぷよぷよ,セガ,,4800
81,2001-10-19,ハムスター物語2 GBA,カルチャーブレーン,,5800
82,2001-10-19,ハローキティコレクション ミラクルファッションメーカー,イマジニア,,5200
83,2001-10-25,ESPN X Games Skateboarding,コナミ,,5800
84,2001-10-25,なかよし麻雀　かぶリーチ,コナミ,,5800
85,2001-10-25,ヒカルの碁,コナミ,,5800
86,2001-10-26,どこでも対局　役満アドバンス,任天堂,,4800
87,2001-10-26,なかよしペットアドバンスシリーズ① かわいいハムスター,エム・ティー・オー,,5200
88,2001-10-26,ファランクス,コトブキシステム,,4980
