id,release_date,title,publisher,bit_memory,price
1,2001-09-14,ウェーブレース ブルーストーム,任天堂,1.35GB,6800
2,2001-09-14,ルイージマンション,任天堂,1.35GB,6800
3,2001-09-14,スーパーモンキーボール,セガ,1.35GB,5800
4,2001-10-26,ピクミン,任天堂,1.35GB,6800
5,2001-11-15,FIFA2002 ロード トゥ FIFA ワールドカップ,エレクトロニック・アーツ,1.35GB,6800
6,2001-11-21,大乱闘スマッシュブラザーズDX,任天堂,1.35GB,6800
7,2001-12-07,ユニバーサル・スタジオ・ジャパン・アドベンチャー,ケムコ,1.35GB,6800
8,2001-12-14,どうぶつの森+,任天堂,1.35GB,6800
9,2001-12-20,ソニックアドベンチャー2 バトル,セガ,1.35GB,6800
10,2001-12-27,SSXトリッキー,エレクトロニック・アーツ,1.35GB,5800
11,2002-01-31,ハイパースポーツ2002 ウインター,コナミ,1.35GB,6800
12,2002-02-14,バーチャストライカー3 Ver.2002,セガ,1.35GB,6800
13,2002-02-21,動物番長,任天堂,1.35GB,6800
14,2002-03-14,実況ワールドサッカー2002,コナミ,1.35GB,6800
15,2002-03-14,巨人のドシン,任天堂,1.35GB,6800
16,2002-03-15,エクストリームG3,アクレイムジャパン,1.35GB,5800
17,2002-03-20,グルーヴアドベンチャーレイヴ ファイティングライブ,コナミ,1.35GB,6800
18,2002-03-22,NBAストリート,エレクトロニック・アーツ,1.35GB,5800
19,2002-03-22,スター・ウォーズ ローグ スコードロン2,エレクトロニック・アーツ,1.35GB,6800
20,2002-03-22,バイオハザード,カプコン,1.35GB,6800
21,2002-03-29,バトル封神,コーエー,1.35GB,6800
22,2002-03-29,NBAコートサイド2002,任天堂,1.35GB,6800
23,2002-04-25,ブラッディロア エクストリーム,ハドソン,1.35GB,6800
24,2002-04-25,ルーン,フロム・ソフトウェア,1.35GB,6800
25,2002-05-02,2002 FIFAワールドカップ,エレクトロニック・アーツ,1.35GB,5800
26,2002-05-30,クレイジータクシー,セガ,1.35GB,4800
27,2002-06-27,ボンバーマン ジェネレーション,ハドソン,1.35GB,6800
28,2002-07-04,カプコン VS SNK 2 EO ミリオネアファイティング2001,カプコン,1.35GB,4800
29,2002-07-18,ディズニースポーツ：サッカー,コナミ,1.35GB,6800
30,2002-07-18,実況パワフルプロ野球9,コナミ,1.35GB,6800
31,2002-07-19,ビーチスパイカーズ,セガ,1.35GB,6800
32,2002-07-19,ムツとのほほん,トミー,1.35GB,6800
33,2002-07-19,スーパーマリオサンシャイン,任天堂,1.35GB,6800
34,2002-07-26,神機世界エヴォルシア,ESP,1.35GB,6800
35,2002-08-01,ディズニーのマジカルパーク,ハドソン,1.35GB,6800
36,2002-08-08,オールスターベースボール2003,アクレイムジャパン,1.35GB,5800
37,2002-08-09,極・麻雀DX2 The 4th MONDO21Cup Competition,アテナ,1.35GB,6800
38,2002-08-09,ミッキーマウスの不思議な鏡,任天堂,1.35GB,6800
39,2002-08-29,WTA ツアーテニス プロエボリューション,コナミ,1.35GB,6800
40,2002-09-05,アルティメット ファイティング チャンピオンシップ2 タップアウト ファイナルスペック,カプコン,1.35GB,6800
41,2002-09-06,ゾイドバーサス,トミー,1.35GB,6800
42,2002-09-06,レッスルマニアX8,ユークス,1.35GB,6800
43,2002-09-12,エイティーン・ホイーラー,セガ,1.35GB,5800
44,2002-09-12,ファンタシースターオンライン エピソード1＆2,セガ,1.35GB,6800
45,2002-09-12,キャプテン翼 黄金世代の挑戦,コナミ,1.35GB,6800
46,2002-09-19,ディズニースポーツ：スケートボーディング,コナミ,1.35GB,6800
47,2002-09-26,セガ サッカースラム,セガ,1.35GB,5800
48,2002-09-26,永世名人6,コナミ,1.35GB,6800
49,2002-09-27,エッグマニア つかんで!まわして!どっすんぱずる!,コトブキシステム,1.35GB,4800
