id,release_date,title,publisher,bit_memory,price
1,1990-10-06,コラムス,セガ,1M, 2900
2,1990-10-06,スーパーモナコGP,セガ,1M, 3500
3,1990-10-06,ペンゴ,セガ,1M, 2900
4,1990-10-23,斬GEAR,ウルフチーム,1M, 3800
5,1990-11-10,対戦麻雀 好牌,セガ,1M, 3500
6,1990-12-08,ワンダーボーイ,セガ,1M, 3500
7,1990-12-15,G-LOC AIR BATTLE,セガ,1M, 3500
8,1990-12-15,倉庫番,リバーヒルソフト,1M, 3500
9,1990-12-22,ドラゴンクリスタル ツラニの迷宮,セガ,2M, 3500
10,1990-12-27,上海II,サンソフト,1M, 3800
11,1991-01-26,THEプロ野球'91,セガ,1M, 3500
12,1991-01-29,パックマン,ナムコ,1M, 3500
13,1991-02-02,サイキック・ワールド,セガ,1M, 3500
14,1991-02-23,ポップブレイカー,マイクロキャビン,1M, 3800
15,1991-02-24,ジャンクション,マイクロネット,1M, 3000
16,1991-03-01,ウッディポップ,セガ,256K, 2900
17,1991-03-08,タイトーチェイスH.Q.,タイトー,1M, 3800
18,1991-03-08,タロットの館,セガ,1M, 3500
19,1991-03-15,ヘッドバスター,メサイヤ,1M, 3500
20,1991-03-21,ミッキーマウスのキャッスル・イリュージョン,セガ,1M, 3500
21,1991-03-29,キネティックコネクション,セガ,1M, 3800
22,1991-03-29,デビリッシュ,元気,1M, 3800
23,1991-04-05,ギアスタジアム,ナムコ,1M, 3500
24,1991-04-19,スーパーゴルフ,シグマ商事,1M, 3500
25,1991-04-26,The GG忍,セガ,2M, 3800
26,1991-04-26,紫禁城,サンソフト,1M, 3800
27,1991-04-26,スクウィーク,ビクター音楽産業,1M, 3800
28,1991-05-24,マッピー,ナムコ,1M, 3500
29,1991-05-31,琉球,フェイス,1M, 3800
30,1991-06-21,がんばれゴルビー!,セガ,1M, 3500
31,1991-06-21,ハレーウォーズ,タイトー,1M, 3800
32,1991-07-05,まじかる☆タルるートくん,ツクダアイデアル,1M, 3980
33,1991-07-12,マジカルパズル ポピルズ,テンゲン,1M, 4800
34,1991-07-19,ファンタジーゾーンGear オパオパJr.の冒険,シムス,1M, 3900
35,1991-07-26,グリフォン,RIOT,1M, 3800
36,1991-07-26,ワギャンランド,ナムコ,2M, 4000
37,1991-08-09,アウトラン,セガ,1M, 3500
38,1991-08-09,エターナルレジェンド 永遠の伝説,セガ,2M, 4500
39,1991-08-09,ラスタン・サーガ,タイトー,1M, 4500
40,1991-09-27,パット&パター,セガ,1M, 3500
41,1991-09-28,対戦型大戦略G,システムソフト,2M, 4800
42,1991-10-25,ギャラガ'91,ナムコ,1M, 3500
43,1991-11-01,アックス=バトラー ゴールデンアックス伝説,セガ,2M, 3800
44,1991-11-01,忍者外伝,セガ,1M, 3500
45,1991-11-22,クニちゃんのゲーム天国,セガ,2M, 3800
46,1991-11-29,ベルリンの壁,KANEKO,2M, 3800
47,1991-12-13,アーリエル クリスタル伝説,セガ,4M, 4500
48,1991-12-20,ドナルドダックのラッキーダイム,セガ,2M, 3800
49,1991-12-27,フレイ ～修行編～,マイクロキャビン,2M, 4500
50,1991-12-27,ヘビーウェイトチャンプ,シムス,1M, 4200
51,1991-12-28,スペースハリアー,セガ,1M, 3500
52,1991-12-28,ソニック・ザ・ヘッジホッグ,セガ,2M, 3800
53,1991-12-29,GGアレスタ,コンパイル,2M, 4800
54,1992-02-07,ポケット雀荘,ナムコ,1M, 3500
55,1992-03-13,ファンタシースターアドベンチャー,セガ,1M, 3500
56,1992-03-19,エイリアンシンドローム,シムス,1M, 4500
57,1992-03-20,バスターボール,リバーヒルソフト,1M, 3800
58,1992-03-27,モンスターワールドII ドラゴンの罠,セガ,2M, 3800
59,1992-04-24,超プロ野球'92,セガ,1M, 3500
60,1992-05-22,ジョー・モンタナ フットボール,セガ,2M, 3800
61,1992-05-22,ひょっこりひょうたん島 ひょうたん島の大航海,セガ,1M, 3500
62,1992-06-05,エアリアルアサルト,セガ,1M, 3500
63,1992-06-12,ぎゅわんぶらあ自己中心派,セガ,2M, 3800
64,1992-07-24,オリンピックゴールド,セガ,2M, 3800
65,1992-08-07,炎の闘球児 ドッジ弾平,セガ,1M, 3200
66,1992-08-28,アイルトン・セナ スーパーモナコGP II,セガ,2M, 3500
67,1992-09-18,シャダム・クルセイダー ～遙かなる王国～,セガ,4M, 5500
68,1992-10-16,ファンタシースター外伝,セガ,2M, 4500
69,1992-10-23,イン ザ ウエイク オブ バンパイア,シムス,2M, 4500
70,1992-10-23,バットマン・リターンズ,セガ,2M, 3500
71,1992-10-30,チャックロック,セガ,2M, 3500
72,1992-11-21,ソニック・ザ・ヘッジホッグ2,セガ,4M, 3800
73,1992-11-27,ベア・ナックル 怒りの鉄拳,セガ,2M, 3500
74,1992-12-11,The GG忍II,セガ,2M, 3500
75,1992-12-18,クニちゃんのゲーム天国Part2,セガ,2M, 3500
76,1992-12-25,シャイニング・フォース外伝 ～遠征・邪神の国へ～,セガ,4M, 5500
77,1993-02-05,レミングス,セガ,2M, 3500
78,1993-02-26,ウィンブルドン,セガ,1M, 3200
79,1993-03-19,ぷよぷよ,セガ,2M, 3500
80,1993-03-26,ミッキーマウスの魔法のクリスタル,セガ,4M, 3800
81,1993-04-29,ドラえもん ノラのすけの野望,セガ,2M, 3500
82,1993-04-29,プロ野球GGリーグ,セガ,2M, 4500
83,1993-05-28,キック アンド ラッシュ,シムス,2M, 4500
84,1993-06-25,シャイニング・フォース外伝II ～邪神の覚醒～,セガ,4M, 5500
85,1993-06-25,トム&ジェリー THE MOVIE,セガ,2M, 3800
86,1993-07-02,ああ播磨灘,セガ,4M, 3800
87,1993-07-23,なぞぷよ - ゲームギア本体との同梱,セガ,1M, 15800
88,1993-07-23,ベア・ナックルII 死闘への鎮魂歌,セガ,4M, 3800
89,1993-07-30,ジュラシック・パーク,セガ,4M, 3800
90,1993-10-01,GGアレスタII,セガ,2M, 3800
91,1993-10-29,アルティメイトサッカー,セガ,2M, 3800
92,1993-11-19,ソニック&テイルス,セガ,4M, 3800
93,1993-12-03,魔導物語I 3つの魔導球,セガ,4M, 5500
94,1993-12-10,なぞぷよ2,セガ,2M, 4500
95,1993-12-17,対戦麻雀 好牌2,セガ,4M, 3800
96,1993-12-17,ドナルドダックの4つの秘宝,セガ,4M, 3800
97,1993-12-17,フェイスボール2000,リバーヒルソフト,2M, 4500
98,1993-12-17,モータルコンバット 神拳降臨伝説,アクレイムジャパン,4M, 4800
99,1994-01-14,バトルトード,セガ,2M, 3800
100,1994-01-21,リディック・ボウ ボクシング,セガ,2M, 3800
101,1994-02-11,ウインターオリンピック,セガ,4M, 3800
102,1994-02-11,バスターファイト,セガ,2M, 3800
103,1994-02-25,T2ザ・アーケードゲーム,アクレイムジャパン,4M, 4800
104,1994-03-04,マクドナルド ドナルドのマジカルワールド,セガ,4M, 3800
105,1994-03-11,エコー・ザ・ドルフィン,セガ,4M, 3800
106,1994-03-18,ソニックドリフト,セガ,4M, 4800
107,1994-03-25,幽☆遊☆白書 滅びし者の逆襲,セガ,4M, 3800
108,1994-03-25,アラジン,セガ,4M, 3800
109,1994-03-25,スクラッチゴルフ,ビック東海,2M, 4800
110,1994-04-22,GPライダー,セガ,4M, 3800
111,1994-04-22,タントア〜ル,セガ,4M, 3800
112,1994-04-22,女神転生外伝 ラストバイブル,セガ,4M, 5500
113,1994-04-29,NBAジャム,アクレイムジャパン,4M, 4800
114,1994-05-20,魔導物語II アルル16才,セガ,4M, 5500
115,1994-05-27,エイリアン3,アクレイムジャパン,2M, 4500
116,1994-05-27,ワールドダービー,CRI,4M, 4980
117,1994-06-03,とられてたまるか!?,セガ,4M, 3800
118,1994-06-24,アダムス・ファミリー,アクレイムジャパン,2M, 4500
119,1994-06-24,ロボコップ3,アクレイムジャパン,2M, 4500
120,1994-07-22,JリーグGGプロストライカー'94,セガ,4M, 4800
121,1994-07-29,スマッシュT.V.,アクレイムジャパン,2M, 4500
122,1994-07-29,バートワールド,アクレイムジャパン,2M, 4500
123,1994-07-29,ズールのゆめぼうけん,インフォコム,2M, 3800
124,1994-07-29,なぞぷよ アルルのルー,セガ,2M, 3800
125,1994-08-05,颯爽少年英雄伝 コカ・コーラキッド,セガ,4M, 3800
126,1994-08-05,ダイナマイトヘッディー,セガ,4M, 3800
127,1994-08-12,ポパイのビーチバレーボール,テクノスジャパン,4M, 4800
128,1994-09-09,モータルコンバットII 究極神拳,アクレイムジャパン,4M, 4800
129,1994-09-09,剣勇伝説YAIBA,セガ,4M, 3800
130,1994-09-16,ダンクキッズ,セガ,4M, 3800
131,1994-09-30,T2 ジャッジメントディ,アクレイムジャパン,2M, 4500
132,1994-09-30,クラッシュ・ダミー スリック坊やの大挑戦,アクレイムジャパン,2M, 4500
133,1994-09-30,プロ野球GGリーグ'94,セガ,4M, 3800
134,1994-09-30,幽☆遊☆白書II 激闘!七強の戦い,セガ,4M, 3800
135,1994-10-30,モルドリアン ～光と闇の姉妹～,セガ,4M, 4800
136,1994-11-11,ソニック&テイルス2,セガ,4M, 3800
137,1994-11-25,イチダントア〜ルGG,セガ,4M, 3800
138,1994-11-25,魔導物語III 究極女王様,セガ,4M, 5500
139,1994-11-25,餓狼伝説スペシャル,タカラ,4M, 4800
140,1994-12-09,サムライスピリッツ,タカラ,4M, 4800
141,1994-12-16,ぷよぷよ通,セガ,4M, 3800
142,1994-12-16,魔法騎士レイアース,セガ,4M, 4800
143,1994-12-16,From TV animation SLAM DUNK 勝利へのスターティング5,バンダイ,4M, 4800
144,1994-12-23,フレッド カプルスズ ゴルフ,セガ,4M, 3800
145,1995-01-13,ミッキーマウス 伝説の王国,セガ,4M, 3800
146,1995-01-13,ライオン・キング,セガ,4M, 3800
147,1995-01-27,ぎゃんぶるぱにっく,セガ,4M, 3800
148,1995-01-27,シルヴァンテイル,セガ,4M, 5500
149,1995-01-27,美少女戦士セーラームーンS,バンダイ,4M, 4800
150,1995-02-03,エコー・ザ・ドルフィン2,セガ,4M, 3800
151,1995-02-17,リスター ザ・シューティングスター,セガ,4M, 3800
152,1995-02-24,NBAジャム トーナメントエディション,アクレイムジャパン,4M, 4800
153,1995-02-24,NFLクォーターバッククラブ'95,アクレイムジャパン,4M, 4800
154,1995-02-24,ロイアル・ストーン 開かれし時の扉,セガ,4M, 4800
155,1995-02-24,クレヨンしんちゃん 対決!カンタムパニック!!,バンダイ,4M, 4800
156,1995-03-03,タマ&フレンズ 3丁目公園タマリンピック,セガ,2M, 3800
157,1995-03-17,ソニックドリフト2,セガ,4M, 3800
158,1995-03-24,ガンスターヒーローズ,セガ,4M, 3800
159,1995-03-24,女神転生外伝 ラストバイブルスペシャル,セガ,4M, 5500
160,1995-03-24,SDガンダム WINNER'S HISTORY,バンダイ,4M, 4800
161,1995-04-07,THE クイズギアファイト!!,セガ,4M, 3800
162,1995-04-28,TEMPO JR.,セガ,4M, 3800
163,1995-04-28,テイルスのスカイパトロール,セガ,2M, 3800
164,1995-05-26,スターゲイト,アクレイムジャパン,2M, 4500
165,1995-05-26,スーパーコラムス,セガ,2M, 3800
166,1995-05-26,トゥルーライズ,アクレイムジャパン,4M, 4500
167,1995-06-30,シャイニング・フォース外伝 ～ファイナルコンフリクト～,セガ,4M, 5800
168,1995-07-14,闘え!プロ野球ツインリーグ,セガ,4M, 3800
169,1995-07-21,忍空,セガ,4M, 4800
170,1995-08-04,魔法騎士レイアース2 ～making of magic knight～,セガ,4M, 4800
