id,release_date,title,publisher,bit_memory,price
1,1988-10-29,スーパーサンダーブレード,セガ, ,5800
2,1988-10-29,スペースハリアーII,セガ, ,5800
3,1988-11-27,獣王記,セガ, ,5800
4,1988-12-24,おそ松くん はちゃめちゃ劇場 ,セガ, ,5500
5,1989-02-10,アレックスキッド 天空魔城 ,セガ, ,5500
6,1989-03-21,ファンタシースターII 還らざる時の終わりに,セガ, ,8000
7,1989-04-22,スーパーリーグ ,セガ, ,5800
8,1989-04-29,スーパー大戦略,セガ, ,6800
9,1989-06-15,サンダーフォースII MD,テクノソフト, ,6800
10,1989-07-01,北斗の拳 新世紀末救世主伝説,セガ, ,6000
11,1989-07-29,ワールドカップサッカー,セガ, ,5500
12,1989-08-03,大魔界村,セガ, ,6800
13,1989-09-09,尾崎直道のスーパーマスターズ,セガ, ,6000
14,1989-10-06,スーパーハイドライド,アスミック, ,7900
15,1989-10-06,スーパーハングオン,セガ, ,6000
16,1989-10-21,ランボーIII,セガ, ,5500
17,1989-11-18,フォゴットンワールズ,セガ, ,6000
18,1989-11-25,孔雀王2,セガ, ,6000
19,1989-12-02,ザ・スーパー忍,セガ, ,6000
20,1989-12-09,TATSUJIN,セガ, ,6000
21,1989-12-14,マージャンCOP竜 白狼の野望,セガ, ,5500
22,1989-12-15,ヘルツォーク・ツヴァイ,テクノソフト, ,6800
23,1989-12-16,ヴァーミリオン ,セガ, ,8500
24,1989-12-23,ゴールデンアックス,セガ, ,6000
25,1989-12-23,カース,マイクロネット, ,6800
26,1990-01-13,ズーム!,セガ, ,5500
27,1990-01-30,史上最大の倉庫番,メサイヤ, ,5200
28,1990-02-24,ソーサリアン,セガ, ,7000
29,1990-03-02,スーパーリアルバスケットボール,セガ, ,6000
30,1990-03-03,ニュージーランドストーリー,タイトー, ,6800
31,1990-03-09,エアダイバー,アスミック, ,6800
32,1990-03-16,重装機兵レイノス,メサイヤ, ,6200
33,1990-03-23,ファイナルブロー,タイトー, ,6800
34,1990-03-23,アフターバーナーII,電波新聞社, ,6900
35,1990-04-07,ダーウィン4081,セガ, ,6000
36,1990-04-21,時の継承者 ファンタシースターIII,セガ, ,8700
37,1990-04-27,サイオブレード,シグマ商事, ,8500
38,1990-05-19,DJボーイ,セガ, ,6000
39,1990-05-26,ウィップラッシュ 惑星ボルテガスの謎,セガ, ,6000
40,1990-06-08,TEL・TELまあじゃん,サンソフト, ,5800
41,1990-06-08,サンダーフォースIII,テクノソフト, ,6800
42,1990-06-23,大旋風,セガ, ,6000
