id,release_date,title,publisher,bit_memory,price
1,1996-06-30,スーパーマリオ64,任天堂,64M,9800
2,1996-06-30,パイロットウィングス64,任天堂,64M,9800
3,1996-06-30,最強羽生将棋,セタ,64M,9800
4,1996-09-27,ウェーブレース64,任天堂,64M,9800
5,1996-11-22,ワンダープロジェクトJ2 コルロの森のジョゼット,エニックス,64M,9800
6,1996-11-29,栄光のセントアンドリュース,セタ,64M,9800
7,1996-12-14,マリオカート64,任天堂,96M,9800
8,1996-12-20,実況Jリーグ パーフェクトストライカー,コナミ,64M,9800
9,1996-12-20,超空間ナイター プロ野球キング,イマジニア,64M,9980
10,1996-12-20,麻雀MASTER マージャン,コナミ,64M,9800
11,1997-03-14,実況パワフルプロ野球4,コナミ,96M,8900
12,1997-03-21,ドラえもん のび太と3つの精霊石,エポック社,64M,7980
13,1997-03-21,ブラストドーザー,任天堂,64M,6800
14,1997-03-28,JリーグLIVE64,エレクトロニック・アーツ・ビクター,64M,9800
15,1997-03-28,ヒューマングランプリ ザ・ニュージェネレーション,ヒューマン,64M,9800
16,1997-04-04,麻雀64,光栄,64M,7800
17,1997-04-27,スターフォックス64,任天堂,96M,8700
18,1997-05-30,時空戦士テュロック,アクレイムジャパン,64M,7800
19,1997-06-14,スターウォーズ 帝国の影,任天堂,96M,7800
20,1997-06-27,ゆけゆけ!!トラブルメーカーズ,エニックス,64M,8900
21,1997-07-18,ウェーブレース64　振動パック対応バージョン,任天堂,64M,6800
22,1997-07-18,スーパーマリオ64　振動パック対応バージョン,任天堂,64M,6800
23,1997-07-18,マルチレーシングチャンピオンシップ,イマジニア,96M,7900
24,1997-07-25,雀豪シミュレーション麻雀道64,ビデオシステム,64M,6980
25,1997-08-01,DOOM64,ゲームバンク,64M,7800
26,1997-08-01,麻雀放浪記CLASSIC,イマジニア,96M,7900
27,1997-08-07,がんばれゴエモン～ネオ桃山幕府のおどり～,コナミ,128M,8900
28,1997-08-08,パワーリーグ64,ハドソン,64M,6980
29,1997-08-23,ゴールデン・アイ007,任天堂,96M,6800
30,1997-09-05,Jリーグダイナマイトサッカー64,イマジニア,64M,7500
31,1997-09-18,実況ワールドサッカー3,コナミ,64M,7500
32,1997-09-26,爆ボンバーマン,ハドソン,64M,6980
33,1997-10-24,Jリーグイレブンビート1997,ハドソン,64M,6980
34,1997-10-31,ぷよぷよSUN64,コンパイル,64M,5980
35,1997-11-21,ディディーコングレーシング,任天堂,96M,6800
36,1997-11-21,プロ麻雀 極64,アテナ,64M,6800
37,1997-11-28,64大相撲,ボトムアップ,128M,7980
38,1997-11-28,HEIWAパチンコワールド64,アムテックス/ショウエイシステム,64M,7900
39,1997-11-28,ファミスタ64,ナムコ,96M,6800
40,1997-11-28,ワイルドチョッパーズ,セタ,64M,6980
41,1997-12-05,TOP GEAR RALLY,コトブキシステム,64M,6980
42,1997-12-05,デュアルヒーローズ,ハドソン,96M,6980
43,1997-12-12,カメレオン・ツイスト,日本システムサプライ,96M,6980
44,1997-12-12,スノボキッズ,アトラス,64M,6800
45,1997-12-18,ハイパーオリンピック イン ナガノ64,コナミ,96M,6800
46,1997-12-18,ヘクセン,ゲームバンク,64M,6800
47,1997-12-18,飛龍の拳ツイン,カルチャーブレーン,96M,6980
48,1997-12-19,64で発見!たまごっち みんなでたまごっちワールド,バンダイ,96M,6800
49,1997-12-19,ウッチャンナンチャンの炎のチャレンジャーウルトラ電流イライラ棒,ハドソン,64M,5980
50,1997-12-19,エアロゲイジ,アスキー,64M,7800
51,1997-12-19,バーチャル・プロレスリング64,アスミック,128M,6800
52,1997-12-21,ヨッシーストーリー,任天堂,128M,6800
53,1997-12-26,遥かなるオーガスタ MASTERS'98,T&Eソフト,128M,7980
54,1998-01-04,新日本プロレス 闘魂炎導 ～Brave Spirits～,ハドソン,96M,6980
55,1998-01-29,NBA IN THE ZONE'98,コナミ,96M,6800
56,1998-01-30,シムシティ2000,イマジニア,96M,6800
57,1998-02-28,1080スノーボーディング,任天堂,128M,6800
58,1998-02-28,ウェイン・グレッキー 3Dホッケー,ゲームバンク,64M,6800
59,1998-03-19,ソニック ウィングス アサルト,ビデオシステム,64M,6980
60,1998-03-26,G.A.S.P!! Fighter's NEXTream,コナミ,128M,6800
61,1998-03-26,実況パワフルプロ野球5,コナミ,128M,7800
62,1998-03-26,進め!対戦ぱずるだま 闘魂!まるたま町,コナミ,128M,6800
63,1998-03-27,エアーボーダー64,ヒューマン,64M,7800
64,1998-03-27,スペースダイナマイツ,ビック東海,64M,6800
65,1998-04-03,森田将棋64,セタ,64M,9800
66,1998-04-24,FIFA Road to WORLD CUP 98 ～ワールドカップへの道～,エレクトロニック・アーツ,96M,6800
67,1998-04-30,ボンバーマンヒーロー ～ミリアン王女を救え!～,ハドソン,128M,6800
68,1998-05-29,エクストリームG,アクレイムジャパン,64M,6800
69,1998-05-29,スーパースピードレース64,タイトー,64M,6800
70,1998-05-29,パチンコ365日,セタ,96M,6980
71,1998-06-04,実況ワールドサッカー WORLD CUP FRANCE'98,コナミ,128M,7800
72,1998-06-26,デザエモン3D,アテナ,128M,7800
73,1998-07-10,スターソルジャーバニシングアース,ハドソン,96M,6800
74,1998-07-14,F-ZERO X,任天堂,128M,5800
75,1998-07-16,オリンピック ホッケー ナガノ98,コナミ,64M,6800
76,1998-07-17,スーパーロボットスピリッツ,バンプレスト,128M,7800
77,1998-07-17,チョロQ64,タカラ,64M,6800
78,1998-07-23,RAKUGAKIDS,コナミ,96M,6800
79,1998-07-24,スーパービーダマン バトルフェニックス64,ハドソン,96M,6800
80,1998-08-01,ポケモンスタジアム,任天堂,128M,6800
81,1998-08-07,アリスのわくわくトランプワールド 64,ボトムアップ,96M,6980
82,1998-08-28,イギーくんのぶらぶらぽよん,アクレイムジャパン,64M,5800
83,1998-10-09,Let's スマッシュ,ハドソン,96M,6800
84,1998-10-23,キラッと解決! 64探偵団,イマジニア,96M,6800
