id,release_date,title,publisher,bit_memory,price
1,1998-10-28,キング・オブ・ファイターズR-1,SNK,16M,4500
2,1998-10-28,ネオジオカップ'98,SNK,8M,3800
3,1998-10-28,ポケットテニス,夢工房,4M,3800
4,1998-10-28,めろんちゃんの成長日記,ADK,8M,3800
5,1998-10-28,連結パズル つなげてポンッ！,夢工房,4M,3500
6,1998-11-20,将棋の達人,ADK,4M,3500
7,1998-11-26,ベースボールスターズ,SNK,8M,3800
8,1998-12-25,サムライスピリッツ！,SNK,16M,4500
9,1998-12-25,ネオ・チェリーマスター,ダイナ,8M,4800
10,1999-03-19,キング・オブ・ファイターズR-2,SNK,16M,4500
11,1999-03-19,ネオ・チェリーマスター カラー,ダイナ,8M,4800
12,1999-03-19,ネオ・ドラゴンズワイルド,ダイナ,8M,3200
13,1999-03-19,ネオ・ミステリーボーナス,ダイナ,8M,4800
14,1999-03-19,ベースボールスターズ カラー,SNK,8M,3200
15,1999-03-19,ポケットテニス カラー,夢工房,4M,3800
16,1999-03-19,将棋の達人 カラー,ADK,4M,3200
17,1999-03-19,連結パズル つなげてポンッ！ カラー,夢工房,4M,2980
18,1999-03-26,パズルボブル ミニ,タイトー／SNK,8M,2980
19,1999-04-15,クラッシュローラー,ADK,8M,3200
20,1999-04-15,ネオジオカップ'98 プラス,SNK,8M,3200
21,1999-04-15,バイオモーター ユニトロン,夢工房,8M,3200
22,1999-04-22,ネオ・ダービーチャンプ 大予想,ダイナ,16M,3800
23,1999-04-29,どこでも麻雀,ADK,4M,3200
24,1999-05-27,ネオポケ プロ野球,SNK／ADK,8M,3800
25,1999-05-27,メタルスラッグ ファーストミッション,SNK,16M,3800
26,1999-05-27,餓狼伝説 ファーストコンタクト,SNK／夢工房,16M,3800
27,1999-06-10,サムライスピリッツ！２,SNK,16M,3800
28,1999-06-24,マジカルドロップ ポケット,データイースト,8M,3800
29,1999-07-22,ぷよぷよ通,セガ／SNK,8M,3800
30,1999-07-29,ビッグトーナメントゴルフ,SNK,16M,3800
31,1999-07-29,上海ミニ,アクティヴィジョン／SNK,8M,3800
32,1999-08-19,ダイヴアラート バーン編,サクノス,16M,3800
33,1999-08-19,ダイヴアラート レベッカ編,サクノス,16M,3800
34,1999-08-26,パックマン,ナムコ／SNK,4M,3800
35,1999-10-21,SNK VS. CAPCOM 激突カードファイターズ CAPCOMサポーターズバージョン,カプコン／SNK,16M,3800
36,1999-10-21,SNK VS. CAPCOM 激突カードファイターズ SNKサポーターズバージョン,カプコン／SNK,16M,3800
