id,release_date,title,publisher,bit_memory,price
1,1987-10-30,上海,ハドソン, ,4500
2,1987-10-30,ビックリマンワールド,ハドソン, ,4500
3,1987-11-21,THE 功夫,ハドソン, ,4500
4,1987-11-30,カトちゃんケンちゃん,ハドソン, ,4900
5,1987-12-28,ビクトリーラン,ハドソン, ,4500
6,1988-01-22,邪聖剣ネクロマンサー,ハドソン, ,4500
7,1988-02-05,妖怪道中記,ナムコ, ,4900
8,1988-03-25,R-TYPE I,ハドソン, ,4900
9,1988-04-22,遊々人生,ハドソン, ,4500
10,1988-05-20,プロ野球ワールドスタジアム,ナムコ, ,4900
11,1988-06-03,R-TYPE II,ハドソン, ,4900
12,1988-06-24,パワーリーグ,ハドソン, ,4900
13,1988-07-08,戦国麻雀,ハドソン, ,4900
14,1988-07-15,ギャラガ'88,ナムコ, ,4900
15,1988-08-11,プロテニス ワールドコート,ナムコ, ,4900
16,1988-08-30,魔神英雄伝ワタル, ハドソン, ,4900
17,1988-09-14,エイリアンクラッシュ,ナグザット, ,5500
18,1988-09-23,ガイアの紋章,メサイヤ, ,5200
19,1988-09-23,魔境伝説,ビクター音楽産業, ,5200
20,1988-10-14,ファンタジーゾーン,NECアベニュー, ,5900
21,1988-11-18,定吉七番 秀吉の黄金,ハドソン, ,4900
22,1988-12-04,No・Ri・Ko,ハドソン, ,4980
23,1988-12-04,ファイティング・ストリート,ハドソン, ,5980
24,1988-12-09,スペースハリアー,NECアベニュー, ,6700
25,1988-12-16,ドラゴンスピリット,ナムコ, ,5500
26,1988-12-22,あっぱれ!ゲートボール,ハドソン, ,4900
27,1989-01-14,ビジランテ,アイレム, ,6300
28,1989-01-27,ソンソン2,NECアベニュー, ,5400
29,1989-02-09,ネクタリス,ハドソン, ,5800
30,1989-02-23,モトローダー,メサイヤ, ,5200
31,1989-03-01,はにいいんざすかい,フェイス, ,5200
32,1989-03-03,ウィニングショット,データイースト, ,5500
33,1989-03-04,ダンジョンエクスプローラー,ハドソン, ,5800
34,1989-03-17,アウトライブ,サンソフト, ,5600
35,1989-03-18,改造町人シュビビンマン,メサイヤ, ,5200
36,1989-03-20,P-47,エイコム, ,5200
37,1989-03-23,F-1 PILOT,パック・イン・ビデオ, ,6300
38,1989-03-23,死霊戦線,ビクター音楽産業, ,5500
39,1989-03-28,がんばれ! ゴルフボーイズ,メサイヤ, ,5300
40,1989-03-30,コブラ 黒竜王の伝説,ハドソン, ,5980
41,1989-03-31,究極タイガー,タイトー, ,5500
42,1989-03-31,ディープブルー・海底神話,パック・イン・ビデオ, ,5300
43,1989-04-01,魔界八犬伝 SHADA,データイースト, ,5800
44,1989-04-19,エナジー,メサイヤ, ,5200
45,1989-04-21,ワンダーモモ,ナムコ, ,6800
46,1989-04-27,凄ノ王伝説,ハドソン, ,6500
47,1989-05-25,パワーゴルフ,ハドソン, ,5800
48,1989-05-30,ナグザットオープン,ナグザット, ,6300
49,1989-06-01,パックランド,ナムコ, ,5200
50,1989-06-19,わいわい麻雀 ゆかいな雀友たち,ビデオシステム, ,5800
51,1989-06-22,ファイヤープロレスリング コンビネーションタッグ,ヒューマン, ,6300
52,1989-06-23,ヴァリスII,日本テレネット, ,6780
53,1989-06-23,サイバークロス,フェイス, ,6300
54,1989-06-28,神武伝承,ビッグクラブ, ,6700
55,1989-06-30,天外魔境 ZIRIA,ハドソン, ,7200
56,1989-06-30,ニンジャウォーリアーズ,タイトー, ,6200
57,1989-07-07,ガンヘッド,ハドソン, ,6200
58,1989-07-07,ファイナルラップツイン,ナムコ, ,6200
59,1989-07-14,サイドアーム,NECアベニュー, ,5400
60,1989-07-28,武田信玄,エイコム, ,5600
61,1989-08-04,めぞん一刻,マイクロキャビン, ,5900
62,1989-08-08,パワーリーグII,ハドソン, ,5800
63,1989-08-10,ブレイクイン,ナグザット, ,5500
64,1989-08-25,F1ドリーム,NECアベニュー, ,5400
65,1989-08-25,ロック・オン,ビッグクラブ, ,6700
66,1989-08-31,ワンダーボーイIII モンスター・レアー,ハドソン, ,5800
67,1989-09-01,ならず者戦闘部隊 ブラッディウルフ,データイースト, ,6500
68,1989-09-08,オーダイン,ナムコ, ,6800
69,1989-09-14,SUPERアルバトロス,日本テレネット, ,6780
70,1989-09-15,スーパー桃太郎電鉄,ハドソン, ,5800
71,1989-09-22,獣王記,NECアベニュー, ,5800
72,1989-09-29,獣王記,NECアベニュー, ,5800
73,1989-09-29,ダブルダンジョン,メサイヤ, ,5500
74,1989-10-13,デジタルチャンプ,ナグザット, ,5800
75,1989-10-20,竜の子ファイター,トンキンハウス, ,5600
76,1989-10-27,鏡の国のレジェンド,ビクター音楽産業, ,6750
77,1989-10-31,ドラえもん 迷宮大作戦,ハドソン, ,4900
78,1989-11-03,都留照人の実践株式倍バイゲーム,インテック, ,9800
79,1989-11-17,ニュートピア,ハドソン, ,5800
80,1989-11-17,麻雀学園 東間宗四郎登場,フェイス, ,7980
81,1989-11-22,大地くんクライシス,サリオ, ,6400
