発売日,メーカー,タイトル,⭐クロスレビュー(評価),価格帯,ジャンル,シリーズ,ID,売り上げ本数(万本),ジャンル(詳細),👥クリエイターズ👨‍💼👨‍💻🎨,👨‍💼ディレクター,👨‍💻プログラマー,🎨デザイナー/美術,🎵音楽,📝シナリオ,💼プロデューサー
2006-11-11,ソニー・コンピュータエンタテインメント,GENJI -神威奏乱-,-,-,-,-,0,0,-,,,,,,,
2006-11-11,ソニー・コンピュータエンタテインメント,RESISTANCE〜人類没落の日〜,33,-,FPS,-,0,0,FPS,,,,,,,
2006-11-11,バンダイナムコゲームス,リッジレーサー7,36,-,RCG,リッジレーサー,0,0,レース,,,,,,,
2006-11-11,セガ,宮里三兄弟内蔵 SEGA GOLFCLUB,-,-,-,-,0,0,-,,,,,,,
2006-11-11,バンダイナムコゲームス,機動戦士ガンダム Target in Sight,32,-,ASHT,-,0,0,アクションシューティング,,,,,,,
2006-11-16,コナミデジタルエンタテインメント,麻雀格闘倶楽部全国対戦版,-,-,-,-,0,0,-,,,,,,,
2006-11-22,コーエー,麻雀大会IV,-,-,-,-,0,0,-,,,,,,,
2006-12-14,ソニー・コンピュータエンタテインメント,MotorStorm 〜モーターストーム〜,30,-,RCG,-,rac/2,0,アクションレース,,,,,,,
2006-12-21,音楽館,Railfan,-,-,-,-,0,0,-,,,,,,,
2006-12-21,フロム・ソフトウェア,アーマード・コア4,31,-,ASHT,アーマード・コア,0,0,アクションシューティング,,,,,,,
2006-12-21,セガ,ソニック・ザ・ヘッジホッグ,-,-,-,-,0,0,-,,,,,,,
2006-12-21,エレクトロニック・アーツ,ニード・フォー・スピード カーボン,34,-,RCG,-,0,0,レース,,,,,,,
2006-12-28,ソニー・コンピュータエンタテインメント,FORMULA ONE CHAMPIONSHIP EDITION,30,-,RCG,-,0,0,レース,,,,,,,
2007-01-11,ソニー・コンピュータエンタテインメント,NBA07【英語版】,-,-,-,NBA,0,0,-,,,,,,,
2007-01-25,フロム・ソフトウェア,ENCHANT ARM,-,-,-,-,0,0,-,,,,,,,
2007-02-08,セガ,バーチャファイター5,35,-,FTG,バーチャファイター,0,0,3D対戦格闘,,,,,,,
2007-02-22,スパイク,アントールドレジェンド ダークキングダム,-,-,RPG,-,0,0,RPG,,,,,,,
