発売日,メーカー,タイトル,⭐クロスレビュー(評価),パッケージ併売,ジャンル,開発元,ID,販売本数,ジャンル(詳細),プラットフォーム
2020-11-12,ソニー・インタラクティブエンタテインメント,ASTRO's PLAYROOM,-,,ETC,ソニー・インタラクティブエンタテインメント,0,1,その他,その他
2020-11-12,Young Horses（英語版）,Bugsnax（英語版）,32,,SPT,Young Horses（英語版）,6820_0m_4923,1,野球,その他
2020-11-12,Starbreeze Studios（英語版）,Dead by Daylight,-,,ETC,Starbreeze Studios（英語版）,1964_0m_1295,1,その他,その他
2020-11-12,ソニー・インタラクティブエンタテインメント,Demon's Souls,-,YES,ETC,ソニー・インタラクティブエンタテインメント,4474_0m_2260n,1,その他,その他
2020-11-12,Gearbox Publishing,Godfall（英語版）,32,YES,SPT,Gearbox Publishing,6820_0m_4923,1,野球,その他
2020-11-12,ソニー・インタラクティブエンタテインメント,Marvel's Spider-Man: Miles Morales,38,YES,AADV,ソニー・インタラクティブエンタテインメント,4308_0m_2184,1,アクションアドベンチャー,その他
2020-11-12,テイクツー・インタラクティブ,NBA 2K21（英語版）,32,YES,SPT,テイクツー・インタラクティブ,6820_0m_4923,1,野球,その他
2020-11-12,Hello Games,No Man's Sky,32,YES,AADV,Hello Games,0,1,アクションアドベンチャー,その他
2020-11-12,Team17（英語版）,Overcooked! 王国のフルコース,-,YES,ETC,Team17（英語版）,0,1,その他,その他
2020-11-12,ソニー・インタラクティブエンタテインメント,Share Factory Studio,-,,ETC,ソニー・インタラクティブエンタテインメント,0,1,その他,その他
2020-11-12,アンナプルナ・インタラクティブ,The Pathless,-,,ETC,アンナプルナ・インタラクティブ,0,1,その他,その他
2020-11-12,ユービーアイソフト,アサシン クリード ヴァルハラ,35,YES,ARPG,ユービーアイソフト,4230_0m_2167,1,アクションRPG,その他
2020-11-12,ユービーアイソフト,ウォッチドッグス レギオン,36,YES,ACT,ユービーアイソフト,43_0m_43,1,ハッキングアクション,その他
2020-11-12,MUTAN,グーニャファイター ぷるぷる触感Edition,-,,ETC,MUTAN,0,1,その他,その他
2020-11-12,カプコン,デビルメイクライ5 スペシャルエディション,37,YES,ACT,カプコン,4475_0m_2261,1,スタイリッシュアクション,その他
2020-11-12,Epic Games,フォートナイト,-,,ETC,Epic Games,0,1,その他,その他
2020-11-12,Frontier Developments,プラネットコースター: コンソール版,-,,ETC,Frontier Developments,0,1,その他,その他
2020-11-12,テイクツー・インタラクティブ,ボーダーランズ3,35,,SHT,テイクツー・インタラクティブ,2878_0m_1624,1,RPGシューター,その他
2020-11-12,ソニー・インタラクティブエンタテインメント,リビッツ! ビッグ・アドベンチャー（英語版）,35,YES,ACT,ソニー・インタラクティブエンタテインメント,4307_0m_2183,1,3Dアクション,その他
2020-11-13,ソニー・インタラクティブエンタテインメント,Call of Duty: Black Ops Cold War,-,YES,ETC,ソニー・インタラクティブエンタテインメント,0,1,その他,その他
2020-11-17,EXNOA,War Thunder,31,,MMO,EXNOA,0,1,MMOコンバットシミュレーター,その他
2020-11-24,ユービーアイソフト,ジャストダンス2021,32,YES,音,ユービーアイソフト,0,1,ダンス,その他
2020-11-26,Merge Games,Spirit of the North（英語版）: Enhanced Edition,32,,SPT,Merge Games,6820_0m_4923,1,野球,その他
2020-11-27,Digital Extremes（英語版）,Warframe,-,,ETC,Digital Extremes（英語版）,0,1,その他,その他
2020-12-01,Team17,Worms Rumble（英語版）,32,,SPT,Team17,6820_0m_4923,1,野球,その他
2020-12-01,ユービーアイソフト,レインボーシックス シージ,34,,SHT,ユービーアイソフト,287_0m_232,1,タクティカルシューター,その他
2020-12-03,The Game Bakers（英語版）,Haven（英語版）,32,,SPT,The Game Bakers（英語版）,6820_0m_4923,1,野球,その他
2020-12-03,ユービーアイソフト,イモータルズ フィニクス ライジング（英語版）,34,YES,AADV,ユービーアイソフト,4382_0m_2214,1,アクションアドベンチャー,その他
2020-12-03,コーエーテクモゲームス,ライザのアトリエ2 〜失われた伝承と秘密の妖精〜,33,,RPG,コーエーテクモゲームス,4482_0m_2268,1,錬金術RPG,その他
2020-12-04,エレクトロニック・アーツ,FIFA 21,-,YES,ETC,エレクトロニック・アーツ,0,1,その他,その他
2020-12-04,エレクトロニック・アーツ,Madden NFL 21（英語版）,32,,SPT,エレクトロニック・アーツ,6820_0m_4923,1,野球,その他
2020-12-08,Humble Bundle,Temtem,30,,MMO,Humble Bundle,0,1,MMORPG,その他
2020-12-09,バンジー,Destiny 2,35,,ASHT,バンジー,0,1,アクションシューティング,その他
2020-12-10,セガ,ぷよぷよテトリス2,34,YES,ACT,セガ,0,1,アクションパズル,その他
2020-12-15,EXNOA,CRSED,-,,ETC,EXNOA,0,1,その他,その他
2020-12-17,コンパイルハート,Go!Go!5次元GAME ネプテューヌ re★Verse,-,YES,ETC,コンパイルハート,0,1,その他,その他
2020-12-17,Tripwire Interactive（英語版）,Maneater（英語版）,32,YES,SPT,Tripwire Interactive（英語版）,6820_0m_4923,1,野球,その他
2021-01-21,EXNOA,RIDE 4（英語版）,32,,SPT,EXNOA,6820_0m_4923,1,野球,その他
2021-01-26,インティ・クリエイツ,サイバーシャドウ（英語版）,31,,ACT,インティ・クリエイツ,0,1,探索アクション,その他
2021-01-28,バンダイナムコエンターテインメント,機動戦士ガンダム バトルオペレーション2,-,,ETC,バンダイナムコエンターテインメント,0,1,その他,その他
