発売日,メーカー,タイトル,⭐クロスレビュー(評価),パッケージ併売,ジャンル,開発元,未使用,販売本数,プラットフォーム
2004-12-12,ソニー・コンピュータエンタテインメント,みんなのGOLF ポータブルEverybody's Golf PortableHot Shots Golf: Open Tee,2,YES,その他,ソニー・コンピュータエンタテインメント,0,1,PSP
2004-12-12,フロム・ソフトウェアAgetec505 Games,アーマード・コア フォーミュラフロント,2,,その他,フロム・ソフトウェアAgetec505 Games,0,1,PSP
2004-12-12,ナムコSCEE,リッジレーサーズRidge Racer,2,,その他,ナムコSCEE,0,1,PSP
2004-12-12,バンダイUbisoft,ルミネス -音と光の電飾パズル-Lumines,2,,その他,バンダイUbisoft,0,1,PSP
2004-12-12,カプコン,ヴァンパイア クロニクル ザ カオス タワーDarkstalkers Chronicle: The Chaos Tower,2,YES,その他,カプコン,0,1,PSP
2004-12-12,コナミ,麻雀格闘倶楽部,2,,その他,コナミ,0,1,PSP
2004-12-16,ナムコ,ことばのパズル もじぴったん大辞典,2,,その他,ナムコ,0,1,PSP
2004-12-16,サイバーフロントConspiracy Entertainment,ころん KOLLONUltimate Block Party,2,YES,その他,サイバーフロントConspiracy Entertainment,0,1,PSP
2004-12-16,ソニー・コンピュータエンタテインメント,どこでもいっしょ,2,,その他,ソニー・コンピュータエンタテインメント,0,1,PSP
2004-12-16,コナミ,メタルギアアシッド,2,,その他,コナミ,0,1,PSP
2004-12-16,コーエー,真・三國無双Dynasty Warriors,2,YES,その他,コーエー,0,1,PSP
2004-12-16,バンダイ,英雄伝説ガガーブトリロジー 白き魔女The Legend of Heroes II: Prophecy of the Moonlight Witch,2,,その他,バンダイ,0,1,PSP
2004-12-22,タイトー,パズルボブル ポケット,2,YES,その他,タイトー,0,1,PSP
2004-12-22,コーエー,麻雀大会,2,YES,その他,コーエー,0,1,PSP
2004-12-24,セガ,ぷよぷよフィーバー,2,,その他,セガ,0,1,PSP
2004-12-30,マーベラスインタラクティブ,AI囲碁,2,YES,その他,マーベラスインタラクティブ,0,1,PSP
2004-12-30,マーベラスインタラクティブ,AI麻雀,2,YES,その他,マーベラスインタラクティブ,0,1,PSP
2004-12-30,ソニー・コンピュータエンタテインメント,ピポサルアカデミーア どっさり!サルゲー大全集,2,YES,その他,ソニー・コンピュータエンタテインメント,0,1,PSP
2005-01-20,マーベラスインタラクティブ,AI将棋,2,YES,その他,マーベラスインタラクティブ,0,1,PSP
2005-01-27,ハドソン,煉獄 ザ・タワー・オブ・パーガトリー,2,,その他,ハドソン,0,1,PSP
2005-01-27,バンダイ,蒼穹のファフナー,2,,その他,バンダイ,0,1,PSP
2005-02-10,ソニー・コンピュータエンタテインメント,ポポロクロイス物語 ピエトロ王子の冒険,2,YES,その他,ソニー・コンピュータエンタテインメント,0,1,PSP
2005-02-17,音楽館,Mobile Train Simulator + 電車でGO! 東京急行編,2,,その他,音楽館,0,1,PSP
2005-02-24,ナムコ,ナムコミュージアム,2,,その他,ナムコ,0,1,PSP
2005-02-24,エレクトロニック・アーツ,ニード・フォー・スピード アンダーグラウンド ライバルズ,2,YES,その他,エレクトロニック・アーツ,0,1,PSP
2005-03-03,ナムコ,テイルズ オブ エターニア,2,,その他,ナムコ,0,1,PSP
2005-03-17,ソニー・コンピュータエンタテインメント,サルゲッチュP!Ape Escape: On the LooseApe Escape P,2,,その他,ソニー・コンピュータエンタテインメント,0,1,PSP
2005-03-24,ソニー・コンピュータエンタテインメント,BLEACH 〜ヒート・ザ・ソウル〜,2,,その他,ソニー・コンピュータエンタテインメント,0,1,PSP
2005-03-31,アイディアファクトリーNippon Ichi Software,新天魔界 〜GOC IV アナザサイド〜Generation of ChaosNew Demon World: GOCIV Another Side,2,,その他,アイディアファクトリーNippon Ichi Software,0,1,PSP
2005-04-01,コーエー,三國志V,2,YES,その他,コーエー,0,1,PSP
2005-04-07,ソニー・コンピュータエンタテインメント,WIPEOUT PURE,2,YES,その他,ソニー・コンピュータエンタテインメント,0,1,PSP
2005-04-07,コーエー,遙かなる時空の中で 彩絵手箱,2,,その他,コーエー,0,1,PSP
2005-04-21,ソニー・コンピュータエンタテインメント,ダービータイム,2,,その他,ソニー・コンピュータエンタテインメント,0,1,PSP
2005-04-21,元気Konami,首都高バトルStreet Supremacy,2,YES,その他,元気Konami,0,1,PSP
2005-04-28,ドラス,ドラスロット 主役は銭形,2,,その他,ドラス,0,1,PSP
2005-04-28,ナウプロダクション,彼岸島,2,,その他,ナウプロダクション,0,1,PSP
2005-05-12,タイトー,スペースインベーダーポケット,2,YES,その他,タイトー,0,1,PSP
2005-05-26,ナウプロダクションD3 Publisher,インテリジェント ライセンスPQ: Practical Intelligence Quotient,2,,その他,ナウプロダクションD3 Publisher,0,1,PSP
2005-06-02,バンダイ,英雄伝説ガガーブトリロジー 朱紅い雫The Legend of Heroes: A Tear of Vermillion,2,,その他,バンダイ,0,1,PSP
2005-06-16,アイドス,爆脳 BAKU-NOSmart Bomb,2,,その他,アイドス,0,1,PSP
2005-06-23,コナミ,CODED ARMS,2,,その他,コナミ,0,1,PSP
2005-06-23,ハドソン,ボンバーマン ぱにっくボンバー,2,,その他,ハドソン,0,1,PSP
2005-06-30,フロム・ソフトウェア,アドベンチャープレイヤー,2,,その他,フロム・ソフトウェア,0,1,PSP
2005-06-30,セガ,実戦パチスロ必勝法! 北斗の拳ポータブル,2,,その他,セガ,0,1,PSP
2005-06-30,コーエー,遙かなる時空の中で2,2,YES,その他,コーエー,0,1,PSP
2005-07-07,バンダイ,スクールランブル 〜姉さん事件です!〜,2,,その他,バンダイ,0,1,PSP
2005-07-21,ハドソン,スターソルジャー,2,,その他,ハドソン,0,1,PSP
2005-07-21,ソニー・コンピュータエンタテインメント,天地の門Kingdom of Paradise,2,,その他,ソニー・コンピュータエンタテインメント,0,1,PSP
2005-07-28,ソニー・コンピュータエンタテインメント,やるドラ ポータブル サンパギータ,2,,その他,ソニー・コンピュータエンタテインメント,0,1,PSP
2005-07-28,ソニー・コンピュータエンタテインメント,やるドラ ポータブル ダブルキャスト,2,YES,その他,ソニー・コンピュータエンタテインメント,0,1,PSP
2005-07-28,ソニー・コンピュータエンタテインメント,やるドラ ポータブル 季節を抱きしめて,2,YES,その他,ソニー・コンピュータエンタテインメント,0,1,PSP
2005-07-28,ソニー・コンピュータエンタテインメント,やるドラ ポータブル 雪割りの花,2,YES,その他,ソニー・コンピュータエンタテインメント,0,1,PSP
2005-07-28,ドラス,ドラスロット 巨人の星II,2,,その他,ドラス,0,1,PSP
2005-07-28,フロム・ソフトウェアSega,天誅 忍大全Tenchu: Time of the Assassins,2,,その他,フロム・ソフトウェアSega,0,1,PSP
2005-07-28,メトロ,実話怪談『新耳袋』一ノ章,2,,その他,メトロ,0,1,PSP
2005-07-28,クロスノーツ,戦国キャノン,2,,その他,クロスノーツ,0,1,PSP
2005-08-04,ソニー・コンピュータエンタテインメント,【Hg】ハイドリウムArcher Maclean's Mercury,2,,その他,ソニー・コンピュータエンタテインメント,0,1,PSP
2005-08-04,カプコン,ロックマンDASH 鋼の冒険心,2,YES,その他,カプコン,0,1,PSP
2005-08-04,ナムコ,太鼓の達人 ぽ〜たぶる,2,,その他,ナムコ,0,1,PSP
2005-08-11,バンダイ,機動戦士ガンダム ギレンの野望 ジオンの系譜,2,,その他,バンダイ,0,1,PSP
2005-08-25,コナミ,Twelve〜戦国封神伝〜,2,,その他,コナミ,0,1,PSP
2005-08-25,エレクトロニック・アーツ,タイガー・ウッズ PGA TOUR,2,,その他,エレクトロニック・アーツ,0,1,PSP
2005-08-25,カプコン,ブレス オブ ファイアIII,2,YES,その他,カプコン,0,1,PSP
2005-09-01,ソニー・コンピュータエンタテインメント,BLEACH 〜ヒート・ザ・ソウル2〜,2,,その他,ソニー・コンピュータエンタテインメント,0,1,PSP
2005-09-01,コーエー,信長の野望・天翔記,2,YES,その他,コーエー,0,1,PSP
2005-09-08,カプコン,ロックマンDASH2 エピソード2 大いなる遺産,2,YES,その他,カプコン,0,1,PSP
2005-09-15,コナミ,ワールドサッカーウイニングイレブン9 ユビキタスエヴォリューションPro Evolution Soccer 5,2,,その他,コナミ,0,1,PSP
2005-09-15,ソニー・コンピュータエンタテインメントAtariBandai,攻殻機動隊 STAND ALONE COMPLEX -狩人の領域-Ghost in the Shell: Stand Alone Complex,2,,その他,ソニー・コンピュータエンタテインメントAtariBandai,0,1,PSP
2005-09-22,バンダイ,ガンダム バトル タクティクス,2,,その他,バンダイ,0,1,PSP
2005-09-22,マーベラスインタラクティブ,スペースインベーダー ギャラクシービートSpace Invaders Evolution,2,,その他,マーベラスインタラクティブ,0,1,PSP
2005-09-22,ソニー・コンピュータエンタテインメント,フォーミュラワン2005 ポータブルF1 Grand Prix,2,,その他,ソニー・コンピュータエンタテインメント,0,1,PSP
2005-09-22,アトラス,プリンセスクラウン,2,YES,その他,アトラス,0,1,PSP
2005-09-29,セガ,GUILTY GEAR XX #RELOAD,2,,その他,セガ,0,1,PSP
2005-09-29,エレクトロニック・アーツ,NBAストリート ショウダウン,2,,その他,エレクトロニック・アーツ,0,1,PSP
