発売日,メーカー,タイトル,⭐クロスレビュー(評価),パッケージ併売,ジャンル,開発元,ID,販売本数,ジャンル(詳細),プラットフォーム
2017-03-03,任天堂,1-2-Switch,-,YES,ETC,任天堂,700_0m_2,1,その他,その他
2017-03-03,フライハイワークス,VOEZ,31,,音,フライハイワークス,0,1,リズムゲーム,その他
2017-03-03,スクウェア・エニックス,いけにえと雪のセツナ,-,YES,ETC,スクウェア・エニックス,704_0m_6,1,その他,その他
2017-03-03,任天堂,いっしょにチョキッと スニッパーズ,33,,PZL,任天堂,1044_0m_104,1,コミュニケーション・パズル,その他
2017-03-03,シティコネクション,そるだむ 開花宣言,-,,ETC,シティコネクション,0,1,その他,その他
2017-03-03,セガゲームス,ぷよぷよテトリスS,-,YES,ETC,セガゲームス,705_0m_7,1,その他,その他
2017-03-03,アークシステムワークス,オセロ,-,,ETC,アークシステムワークス,0,1,その他,その他
2017-03-03,コナミデジタルエンタテインメント,スーパーボンバーマン R,30,YES,ACT,コナミデジタルエンタテインメント,702_0m_4,1,アクション,その他
2017-03-03,任天堂,ゼルダの伝説 ブレス オブ ザ ワイルド,40,YES,ADV,任天堂,699_0m_1,1,オープンエアアドベンチャー,その他
2017-03-03,スクウェア・エニックス,ドラゴンクエストヒーローズI・II for Nintendo Switch,36,YES,ARPG,スクウェア・エニックス,701_0m_3,1,アクションRPG,その他
2017-03-03,インティ・クリエイツ,ブラスターマスター ゼロ,32,,ACT,インティ・クリエイツ,0,1,探索アクション,その他
2017-03-03,コーエーテクモゲームス,信長の野望・創造 with パワーアップキット,-,YES,ETC,コーエーテクモゲームス,703_0m_5,1,その他,その他
2017-03-03,アークシステムワークス,新大開拓時代 〜街をつくろう〜（英語版）,-,,ETC,アークシステムワークス,0,1,その他,その他
2017-03-03,ポイソフト,空飛ぶブンブンバーン（英語版）,-,,ETC,ポイソフト,0,1,その他,その他
2017-03-03,日本一ソフトウェア,魔界戦記ディスガイア5,-,YES,ETC,日本一ソフトウェア,706_0m_8,1,その他,その他
2017-03-30,コーエーテクモゲームス,三國志13 with パワーアップキット,-,YES,ETC,コーエーテクモゲームス,711_0m_11,1,その他,その他
2017-04-13,メビウス,メゾン・ド・魔王,-,,ETC,メビウス,0,1,その他,その他
2017-04-13,フライハイワークス,神巫女 -カミコ-,30,,ACT,フライハイワークス,0,1,巫女アクション,その他
2017-04-18,DotEmu,Wonder Boy: The Dragon's Trap,-,,ETC,DotEmu,0,1,その他,その他
2017-04-20,スクウェア・エニックス,みんなでワイワイ！スペランカー,-,YES,ETC,スクウェア・エニックス,712_0m_12,1,その他,その他
2017-04-27,シルバースタージャパン,銀星将棋 強天怒闘風雷神,-,,ETC,シルバースタージャパン,0,1,その他,その他
2017-04-28,任天堂,マリオカート8 デラックス,35,YES,RCG,任天堂,708_0m_10,1,アクションレース,その他
2017-05-02,aeiowu,TumbleSeed（英語版）,-,,ETC,aeiowu,0,1,その他,その他
