release_date,title,publisher,rating_scheme,rating,source_url
2023-01-05,Crime Secrets: 新紅色のユリ,Artifex Mundi,IARC,16+,https://ja.wikipedia.org/wiki/Nintendo_Switch%E3%81%AE%E3%82%B2%E3%83%BC%E3%83%A0%E3%82%BF%E3%82%A4%E3%83%88%E3%83%AB%E4%B8%80%E8%A6%A7_%282023%E5%B9%B4%29
2023-01-05,Blind Postman,DillyFrame,IARC,3+,https://ja.wikipedia.org/wiki/Nintendo_Switch%E3%81%AE%E3%82%B2%E3%83%BC%E3%83%A0%E3%82%BF%E3%82%A4%E3%83%88%E3%83%AB%E4%B8%80%E8%A6%A7_%282023%E5%B9%B4%29
2023-01-05,| Kawaii Slime Arena,eastasiasoft,IARC,12+,https://ja.wikipedia.org/wiki/Nintendo_Switch%E3%81%AE%E3%82%B2%E3%83%BC%E3%83%A0%E3%82%BF%E3%82%A4%E3%83%88%E3%83%AB%E4%B8%80%E8%A6%A7_%282023%E5%B9%B4%29
2023-01-05,エイジ・オブ・ヒーローズ:始まりの章,Green Sauce Games,IARC,3+,https://ja.wikipedia.org/wiki/Nintendo_Switch%E3%81%AE%E3%82%B2%E3%83%BC%E3%83%A0%E3%82%BF%E3%82%A4%E3%83%88%E3%83%AB%E4%B8%80%E8%A6%A7_%282023%E5%B9%B4%29
2023-01-05,ヘビゲーム,Peaksel,IARC,3+,https://ja.wikipedia.org/wiki/Nintendo_Switch%E3%81%AE%E3%82%B2%E3%83%BC%E3%83%A0%E3%82%BF%E3%82%A4%E3%83%88%E3%83%AB%E4%B8%80%E8%A6%A7_%282023%E5%B9%B4%29
2023-01-05,Lost Snowmen,Silen Games,IARC,3+,https://ja.wikipedia.org/wiki/Nintendo_Switch%E3%81%AE%E3%82%B2%E3%83%BC%E3%83%A0%E3%82%BF%E3%82%A4%E3%83%88%E3%83%AB%E4%B8%80%E8%A6%A7_%282023%E5%B9%B4%29
2023-01-05,チェスロイヤル,Silesia Games,IARC,3+,https://ja.wikipedia.org/wiki/Nintendo_Switch%E3%81%AE%E3%82%B2%E3%83%BC%E3%83%A0%E3%82%BF%E3%82%A4%E3%83%88%E3%83%AB%E4%B8%80%E8%A6%A7_%282023%E5%B9%B4%29
2023-01-05,Infected Run to Survive: Zombie Apocalypse Survival Story Shooter Dead Cry,VG Games,IARC,12+,https://ja.wikipedia.org/wiki/Nintendo_Switch%E3%81%AE%E3%82%B2%E3%83%BC%E3%83%A0%E3%82%BF%E3%82%A4%E3%83%88%E3%83%AB%E4%B8%80%E8%A6%A7_%282023%E5%B9%B4%29
2023-01-05,Backpack Twins,あまた,IARC,16+,https://ja.wikipedia.org/wiki/Nintendo_Switch%E3%81%AE%E3%82%B2%E3%83%BC%E3%83%A0%E3%82%BF%E3%82%A4%E3%83%88%E3%83%AB%E4%B8%80%E8%A6%A7_%282023%E5%B9%B4%29
2023-01-05,Elta7,ブルースピードスタジオ,IARC,3+,https://ja.wikipedia.org/wiki/Nintendo_Switch%E3%81%AE%E3%82%B2%E3%83%BC%E3%83%A0%E3%82%BF%E3%82%A4%E3%83%88%E3%83%AB%E4%B8%80%E8%A6%A7_%282023%E5%B9%B4%29
2023-01-06,Soulsland 「ソウルランド」,Nerd Games,IARC,12+,https://ja.wikipedia.org/wiki/Nintendo_Switch%E3%81%AE%E3%82%B2%E3%83%BC%E3%83%A0%E3%82%BF%E3%82%A4%E3%83%88%E3%83%AB%E4%B8%80%E8%A6%A7_%282023%E5%B9%B4%29
2023-01-12,サイレンタウンの子供たち Children of Silentown,Daedalic Entertainment,IARC,7+,https://ja.wikipedia.org/wiki/Nintendo_Switch%E3%81%AE%E3%82%B2%E3%83%BC%E3%83%A0%E3%82%BF%E3%82%A4%E3%83%88%E3%83%AB%E4%B8%80%E8%A6%A7_%282023%E5%B9%B4%29
2023-01-12,Fight of Steel: Infinity Warrior,Digital Crafter,IARC,3+,https://ja.wikipedia.org/wiki/Nintendo_Switch%E3%81%AE%E3%82%B2%E3%83%BC%E3%83%A0%E3%82%BF%E3%82%A4%E3%83%88%E3%83%AB%E4%B8%80%E8%A6%A7_%282023%E5%B9%B4%29
2023-01-12,Rush Rally Origins,eastasiasoft,CERO,A,https://ja.wikipedia.org/wiki/Nintendo_Switch%E3%81%AE%E3%82%B2%E3%83%BC%E3%83%A0%E3%82%BF%E3%82%A4%E3%83%88%E3%83%AB%E4%B8%80%E8%A6%A7_%282023%E5%B9%B4%29
2023-01-12,ムーンライダー:ガーディアンの逆襲,H2 INTERACTIVE,IARC,16+,https://ja.wikipedia.org/wiki/Nintendo_Switch%E3%81%AE%E3%82%B2%E3%83%BC%E3%83%A0%E3%82%BF%E3%82%A4%E3%83%88%E3%83%AB%E4%B8%80%E8%A6%A7_%282023%E5%B9%B4%29
2023-01-12,ドラゴノーカ,PLAYISM,IARC,16+,https://ja.wikipedia.org/wiki/Nintendo_Switch%E3%81%AE%E3%82%B2%E3%83%BC%E3%83%A0%E3%82%BF%E3%82%A4%E3%83%88%E3%83%AB%E4%B8%80%E8%A6%A7_%282023%E5%B9%B4%29
2023-01-12,Breakers Collection,QUByte Interactive,IARC,7+,https://ja.wikipedia.org/wiki/Nintendo_Switch%E3%81%AE%E3%82%B2%E3%83%BC%E3%83%A0%E3%82%BF%E3%82%A4%E3%83%88%E3%83%AB%E4%B8%80%E8%A6%A7_%282023%E5%B9%B4%29
2023-01-12,フューリーファイト:ギャングスタシティ,RedDeerGames,IARC,12+,https://ja.wikipedia.org/wiki/Nintendo_Switch%E3%81%AE%E3%82%B2%E3%83%BC%E3%83%A0%E3%82%BF%E3%82%A4%E3%83%88%E3%83%AB%E4%B8%80%E8%A6%A7_%282023%E5%B9%B4%29
