発売日,メーカー,タイトル,⭐クロスレビュー(評価),パッケージ併売,ジャンル,開発元,ID,販売本数,ジャンル(詳細),プラットフォーム
2011-12-17,コナミデジタルエンタテインメント,AR COMBAT DigiQ -ともだち戦車隊-,-,,ETC,コナミデジタルエンタテインメント,0,1,その他,PS Vita
2011-12-17,コナミデジタルエンタテインメントUbisoft,ASPHALT：INJECTION,-,YES,ETC,コナミデジタルエンタテインメントUbisoft,0,1,その他,PS Vita
2011-12-17,アークシステムワークスNA: Aksys GamesEU: Pqube,BLAZBLUE CONTINUUM SHIFT EXTEND,34,YES,FTG,アークシステムワークスNA: Aksys GamesEU: Pqube,act/11,1,2D対戦格闘,PS Vita
2011-12-17,コードマスターズ,F1 2011,-,YES,ETC,コードマスターズ,spo/4,1,その他,PS Vita
2011-12-17,カプコン,ULTIMATE MARVEL VS. CAPCOM 3,31,YES,FTG,カプコン,act/10,1,3D対戦格闘,PS Vita
2011-12-17,ソニー・コンピュータエンタテインメント,みんなといっしょToro's Friend Network,-,,ETC,ソニー・コンピュータエンタテインメント,0,1,その他,PS Vita
2011-12-17,ソニー・コンピュータエンタテインメント,みんなのGOLF 6北米：Hot Shots Golf: World Invitational欧州：Everybody's Golf 6,-,YES,ETC,ソニー・コンピュータエンタテインメント,0,1,その他,PS Vita
2011-12-17,ソニー・コンピュータエンタテインメント,アンチャーテッド 地図なき冒険の始まりUncharted: Golden Abyss,-,YES,ETC,ソニー・コンピュータエンタテインメント,aad/1,1,その他,PS Vita
2011-12-17,ソニー・コンピュータエンタテインメント,サワリ・マ・ク〜ル!Little Deviants,-,,ETC,ソニー・コンピュータエンタテインメント,0,1,その他,PS Vita
2011-12-17,ユービーアイソフト,ダーククエスト 〜Alliance〜Dungeon Hunter: Alliance,-,YES,ETC,ユービーアイソフト,0,1,その他,PS Vita
2011-12-17,ディースリー・パブリッシャー,ドリームクラブZERO ポータブル,30,YES,SLG,ディースリー・パブリッシャー,slg/1,1,恋愛シミュレーション,PS Vita
2011-12-17,セガ,パワースマッシュ4Virtua Tennis 4: World Tour Edition,-,YES,ETC,セガ,0,1,その他,PS Vita
2011-12-17,ユービーアイソフト,マイケル・ジャクソン ザ・エクスペリエンスHD,-,YES,ETC,ユービーアイソフト,etc/40,1,その他,PS Vita
2011-12-17,ソニー・コンピュータエンタテインメント,モンスターレーダー,-,YES,ETC,ソニー・コンピュータエンタテインメント,etc/41,1,その他,PS Vita
