title,release_date,Package
FIFA13 ワールドクラスサッカー,2012-12-08,true
Mass Effect 3 特別版,2012-12-08,true
NINJA GAIDEN 3: Razor's Edge,2012-12-08,true
New スーパーマリオブラザーズ U,2012-12-08,true
Nintendo Land,2012-12-08,true
アサシン クリード III,2012-12-08,true
ゾンビU,2012-12-08,true
バットマン：アーカム・シティ アーマードエディション,2012-12-08,true
モンスターハンター3(トライ)G HD Ver.,2012-12-08,true
無双OROCHI2 Hyper,2012-12-08,true
鉄拳タッグトーナメント2 Wii U EDITION,2012-12-08,true
三國志12,2012-12-13,true
SIMPLEシリーズ for Wii U Vol.1 THEファミリーパーティ,2012-12-20,true
コール オブ デューティ ブラックオプス2（吹き替え版）,2012-12-20,true
スポーツコネクション,2012-12-20,true
TANK!TANK!TANK!,2012-12-26,true
真・北斗無双,2013-01-31,true
ナノアサルト ネオ,2013-02-27,false
ニード・フォー・スピード モスト・ウォンテッド U,2013-03-20,true
ゲーム&ワリオ,2013-03-28,true
ドラゴンクエストX 目覚めし五つの種族 オンライン,2013-03-30,true
オセロ,2013-04-17,false
ポケモンスクランブル U,2013-04-24,false
バイオハザード リベレーションズ アンベールド エディション,2013-05-23,true
ラビッツランド,2013-06-06,true
New スーパールイージ U,2013-06-19,true
F1 RACE STARS POWERED UP EDITION,2013-06-27,true
インジャスティス 神々の激突,2013-06-27,true
スカイランダーズ スパイロの大冒険,2013-07-12,true
ピクミン3,2013-07-13,true
スナイパーエリートV2,2013-07-18,true
レゴシティ アンダーカバー,2013-07-25,true
どうぶつの森 こもれび広場,2013-08-08,false
絵心教室 スケッチ,2013-08-08,false
龍が如く1&2 HD for Wii U,2013-08-08,true
The Wonderful 101,2013-08-24,true
運命の洞窟 THE CAVE,2013-08-28,false
スプリンターセル ブラックリスト,2013-09-05,true
ARC STYLE: 野球!!SP,2013-09-18,false
ゼルダの伝説 風のタクト HD,2013-09-26,true
ディズニー エピックミッキー2:二つの力,2013-09-26,true
三國志12 with パワーアップキット,2013-09-26,true
トガビトノセンリツ,2013-10-02,false
レイマン レジェンド,2013-10-17,true
ソニック ロストワールド,2013-10-24,true
Wii Sports Club,2013-10-30,true
Wii Party U,2013-10-31,true
コール オブ デューティ ゴースト（字幕版）,2013-11-14,true
スーパーマリオ 3Dワールド,2013-11-21,true
太鼓の達人 Wii Uば～じょん!,2013-11-21,true
アサシン クリード IV ブラック フラッグ,2013-11-28,true
ディズニーインフィニティ,2013-11-28,true
ドラゴンクエストX 眠れる勇者と導きの盟友 オンライン,2013-12-05,true
バットマン アーカム・ビギンズ,2013-12-05,true
マリオ&ソニック AT ソチオリンピック,2013-12-05,true
モンスターハンター フロンティアG,2013-12-11,true
ファミコンリミックス,2013-12-19,false
ガイアブレイカー,2013-12-25,false
Dr.LUIGI & 細菌撲滅,2014-01-15,false
TRINE 2 三つの力と不可思議の森,2014-01-22,false
まちがいさがしパーティー,2014-01-22,false
Wii Fit U,2014-02-01,true
ぷよぷよテトリス,2014-02-06,true
わいわい!みんなでチャレンジ,2014-02-12,false
ドンキーコング トロピカルフリーズ,2014-02-13,true
おきらくテニスSP,2014-03-12,false
クラウドベリー キングダム,2014-03-26,false
アルファディア ジェネシス,2014-04-02,false
JUST DANCE Wii U,2014-04-03,true
@SIMPLE DLシリーズ for Wii U Vol.1 THE 密室からの脱出 〜すべての始まり16の謎〜,2014-04-09,false
D.M.L.C. -デスマッチラブコメ-,2014-04-09,false
モンスターハンター フロンティアGG,2014-04-23,true
ファミコンリミックス 1+2,2014-04-24,true
ファミコンリミックス2,2014-04-24,false
チャイルド オブ ライト,2014-04-30,false
ソニック&オールスターレーシング トランスフォームド,2014-05-15,true
