id,release_date,title,publisher,bit_memory,price
1,1999-03-04,GUNPEY,バンダイ, ,3129
2,1999-03-04,チョコボの不思議なダンジョン for ワンダースワン,バンダイ, ,3990
3,1999-03-04,電車でGO!,タイトー, ,3990
4,1999-03-04,新日本プロレスリング闘魂烈伝,トミー, ,4179
5,1999-03-11,信長の野望 for ワンダースワン,コーエー, ,4410
6,1999-03-11,麻雀登龍門,サミー, ,3990
7,1999-03-11,ぷよぷよ通,バンダイ, ,3780
8,1999-03-11,ワンダースタジアム,バンダイ, ,3780
9,1999-03-25,デジタルモンスター Ver. ワンダースワン,バンダイ, ,3990
10,1999-04-01,海釣りに行こう!,ココナッツジャパン, ,3990
11,1999-04-01,三國志 for ワンダースワン,コーエー, ,4410
12,1999-04-01,上海ポケット,サンソフト, ,3990
13,1999-04-01,語楽王 TANGO!,メビウス, ,3990
14,1999-04-08,ナイスオン,サミー, ,3990
15,1999-04-15,元祖じゃじゃ丸くん,ジャレコ, ,3990
16,1999-04-15,子育てクイズ どこでもマイエンジェル,バンダイ, ,3990
17,1999-04-28,beatmania for WonderSwan,コナミ, ,5040
18,1999-04-28,スーパーロボット大戦COMPACT,バンプレスト, ,4725
19,1999-05-04,メダロット・パーフェクトエディション カブトバージョン,イマジニア, ,4179
20,1999-05-04,メダロット・パーフェクトエディション クワガタバージョン,イマジニア, ,4179
21,1999-05-13,スペースインベーダー,サンソフト, ,3990
22,1999-05-13,ワンダースワンハンディーソナー,バンダイ, ,3990
23,1999-05-20,風のクロノア ムーンライトミュージアム,ナムコ, ,3990
24,1999-05-27,SDガンダム エモーショナルジャム,バンダイ, ,3990
25,1999-05-27,LAST STAND ラストスタンド,バンダイ, ,3990
26,1999-06-10,カオスギア 〜導かれし者〜,バンダイ, ,3990
27,1999-06-17,鉄拳 カードチャレンジ,バンダイ, ,3990
28,1999-06-24,アンカーズ・フィールド,サミー, ,3990
29,1999-06-24,ヴァイツブレイド,バンダイ, ,4179
30,1999-07-01,パズルボブル,サンソフト, ,3990
31,1999-07-01,トランプコレクション ボトムアップ的トランプ生活,ボトムアップ, ,4179
32,1999-07-15,日本プロ麻雀連盟公認 徹萬,加賀テック, ,3654
33,1999-07-22,新世紀エヴァンゲリオン シト育成,バンダイ, ,3990
34,1999-07-22,魔界村 for ワンダースワン,バンダイ, ,3990
35,1999-07-29,クレイジークライマー,日本物産, ,3990
36,1999-08-05,TERRORS,バンダイ, ,3129
37,1999-08-05,名探偵コナン 魔術師の挑戦状!,バンダイ,8M,3780
38,1999-08-12,サッカーやろう! 〜Challenge The World〜,ココナッツジャパン, ,3990
39,1999-08-26,Mobile Suit GUNDAM MSVS,バンダイ, ,3990
40,1999-09-14,競馬予想支援ソフト 予想進化論,メディアエンターテイメント, ,5040
41,1999-09-30,ワンダースタジアム'99,バンダイ, ,3780
42,1999-09-30,格闘料理伝説ビストロレシピ 〜ワンダーバトル編〜,バンプレスト, ,4179
43,1999-10-07,プロ麻雀 極 for ワンダースワン,アテナ, ,3990
44,1999-10-07,電車でGO!2,サイバーフロント, ,3990
45,1999-10-07,Harobots 〜ハロボッツ〜,サンライズインタラクティブ, ,4515
46,1999-10-14,マジカルドロップ for ワンダースワン,データイースト, ,3990
