発売日,メーカー,タイトル,⭐クロスレビュー(評価),パッケージ併売,ジャンル,開発元,未使用,販売本数,プラットフォーム
2014-09-04,日本マイクロソフト,Forza Motorsport 5,2,YES,その他,日本マイクロソフト,0,1,Xbox One
2014-09-04,日本マイクロソフト,Kinect スポーツ ライバルズ,2,YES,その他,日本マイクロソフト,0,1,Xbox One
2014-09-04,スクウェア・エニックス,MURDERED 魂の呼ぶ声,2,YES,その他,スクウェア・エニックス,0,1,Xbox One
2014-09-04,スクウェア・エニックス,Thief,2,YES,その他,スクウェア・エニックス,0,1,Xbox One
2014-09-04,Digital Extremes,Warframe,2,,その他,Digital Extremes,0,1,Xbox One
2014-09-04,ベセスダ・ソフトワークス,Wolfenstein: The New Order,2,YES,その他,ベセスダ・ソフトワークス,0,1,Xbox One
2014-09-04,ユービーアイソフト,アサシン クリード IV ブラック フラッグ,2,YES,その他,ユービーアイソフト,0,1,Xbox One
2014-09-04,ユービーアイソフト,ウォッチドッグス,2,YES,その他,ユービーアイソフト,0,1,Xbox One
2014-09-04,スクウェア・エニックス,コール オブ デューティ ゴースト 吹き替え版,2,YES,その他,スクウェア・エニックス,0,1,Xbox One
2014-09-04,株式会社ハムスター,ズンバ フィットネス ワールドパーティ,2,YES,その他,株式会社ハムスター,0,1,Xbox One
2014-09-04,日本マイクロソフト,ズー タイクーン,2,YES,その他,日本マイクロソフト,0,1,Xbox One
2014-09-04,エレクトロニック・アーツ,タイタンフォール,2,YES,その他,エレクトロニック・アーツ,0,1,Xbox One
2014-09-04,日本マイクロソフト,デッドライジング3,2,YES,その他,日本マイクロソフト,0,1,Xbox One
2014-09-04,スクウェア・エニックス,トゥームレイダー ディフィニティブエディション,2,YES,その他,スクウェア・エニックス,0,1,Xbox One
2014-09-04,エレクトロニック・アーツ,ニード・フォー・スピード ライバルズ,2,YES,その他,エレクトロニック・アーツ,0,1,Xbox One
2014-09-04,エレクトロニック・アーツ,バトルフィールド4,2,YES,その他,エレクトロニック・アーツ,0,1,Xbox One
2014-09-04,エレクトロニック・アーツ,プラント vs. ゾンビ ガーデンウォーフェア,2,YES,その他,エレクトロニック・アーツ,0,1,Xbox One
2014-09-04,日本マイクロソフト,ライズ:サン・オブ・ローマ,2,YES,その他,日本マイクロソフト,0,1,Xbox One
