発売日,メーカー,タイトル,⭐クロスレビュー(評価),パッケージ併売,ジャンル,開発元,未使用,販売本数,プラットフォーム
2014-11-06,日本マイクロソフト,Killer Instinct コンボ ブレイカー パック,2,YES,その他,日本マイクロソフト,0,1,Xbox Series X/S
2014-11-13,日本マイクロソフト,Halo: The Master Chief Collection,2,YES,その他,日本マイクロソフト,0,1,Xbox Series X/S
2015-01-29,ユービーアイソフト,ファークライ4,2,YES,その他,ユービーアイソフト,0,1,Xbox Series X/S
2015-05-19,スパイク・チュンソフト,ウィッチャー3 ワイルドハント,2,YES,その他,スパイク・チュンソフト,0,1,Xbox Series X/S
2015-11-12,ユービーアイソフト,アサシン クリード シンジゲート,2,YES,その他,ユービーアイソフト,0,1,Xbox Series X/S
2015-12-10,ユービーアイソフト,レインボーシックス シージ,2,YES,その他,ユービーアイソフト,0,1,Xbox Series X/S
2015-12-17,ベセスダ・ソフトワークス,Fallout 4,2,YES,その他,ベセスダ・ソフトワークス,0,1,Xbox Series X/S
2017-02-16,ユービーアイソフト,フォーオナー,2,YES,その他,ユービーアイソフト,0,1,Xbox Series X/S
2017-03-09,ユービーアイソフト,ゴーストリコン ワイルドランズ,2,YES,その他,ユービーアイソフト,0,1,Xbox Series X/S
2017-10-26,ユービーアイソフト,アサシン クリード オリジンズ,2,YES,その他,ユービーアイソフト,0,1,Xbox Series X/S
2018-03-29,ユービーアイソフト,ファークライ5,2,YES,その他,ユービーアイソフト,0,1,Xbox Series X/S
2018-10-02,日本マイクロソフト,Forza Horizon 4,2,YES,その他,日本マイクロソフト,0,1,Xbox Series X/S
2019-02-15,スパイク・チュンソフト,メトロ エクソダス,2,YES,その他,スパイク・チュンソフト,0,1,Xbox Series X/S
2019-03-08,カプコン,デビル メイ クライ 5,2,YES,その他,カプコン,0,1,Xbox Series X/S
2019-09-10,日本マイクロソフト,Gears 5,2,YES,その他,日本マイクロソフト,0,1,Xbox Series X/S
2020-08-06,日本マイクロソフト,Ori and the Will of the Wisps,2,YES,その他,日本マイクロソフト,0,1,Xbox Series X/S
2020-09-08,日本マイクロソフト,Minecraft Dungeons,2,YES,その他,日本マイクロソフト,0,1,Xbox Series X/S
2020-09-17,スパイク・チュンソフト,サイバーパンク2077,2,YES,その他,スパイク・チュンソフト,0,1,Xbox Series X/S
2020-11-10,日本マイクロソフト(Xbox Game Studios),Gears Tactics/ギアーズ タクティクス(Gears of War Tactics),2,YES,その他,日本マイクロソフト(Xbox Game Studios),0,1,Xbox Series X/S
2020-11-10,ユービーアイソフト,アサシン クリード ヴァルハラ,2,,その他,ユービーアイソフト,0,1,Xbox Series X/S
2020-11-13,アクティビジョン,*コール オブ デューティブラックオプス コールドウォー (外付けHDDからインストールする場合はOne版),2,,その他,アクティビジョン,0,1,Xbox Series X/S
2020-11-17,Xbox Game Studios,*Halo: The Master Chief Collection,2,,その他,Xbox Game Studios,0,1,Xbox Series X/S
2020-11-18,バンダイナムコエンターテインメント,塊魂アンコール,2,,その他,バンダイナムコエンターテインメント,0,1,Xbox Series X/S
2020-12-01,ユービーアイソフト,レインボーシックス シージ,2,,その他,ユービーアイソフト,0,1,Xbox Series X/S
2020-12-02,Eastasiasoft Limited,ハブロキシア,2,,その他,Eastasiasoft Limited,0,1,Xbox Series X/S
2020-12-03,The Game Bakers,Haven,2,,その他,The Game Bakers,0,1,Xbox Series X/S
2020-12-04,スクウェア・エニックス,ドラゴンクエストXI過ぎ去りし時を求めて S,2,,その他,スクウェア・エニックス,0,1,Xbox Series X/S
2020-12-08,バンジー,Destiny 2,2,,その他,バンジー,0,1,Xbox Series X/S
2020-12-09,エレクトロニック・アーツ,It Takes Two,2,,その他,エレクトロニック・アーツ,0,1,Xbox Series X/S
2020-12-10,セガ,ぷよぷよテトリス2,2,,その他,セガ,0,1,Xbox Series X/S
2020-12-11,Aspyr,Morkredd,2,,その他,Aspyr,0,1,Xbox Series X/S
