ID	title	developer	genre	language	publisher	region	release_date	release_name	root_files	serial	uuid	volume_ID
Action_Replay_(Europe)_(Unl)	Action Replay (Europe) (Unl)	N/A	N/A	N/A	N/A	N/A	N/A	Action Replay (Europe) (Unl)	ARCDX.EXE / FILL1.BIN / FILL10.BIN / FILL2.BIN / FILL3.BIN / FILL4.BIN / FILL5.BIN / FILL6.BIN / FILL7.BIN / FILL8.BIN / FILL9.BIN / SYSTEM.CNF	N/A	2002-09-13-16-31-57-09	N/A
Action_Replay_2_(France)_(Disc_2)_(Unl)	Action Replay 2 (France) (Disc 2) (Unl)	N/A	N/A	N/A	N/A	N/A	N/A	Action Replay 2 (France) (Disc 2) (Unl)	AR2GUIDE.STR / PSXMAIN.EXE / SYSTEM.CNF	N/A	2001-01-15-14-34-35-04	N/A
Action_Replay_2_(USA)_(En,Fr,Es,Pt)_(Disc_2)_(Bonus_PSone_Codes!)_(Unl)	Action Replay 2 (USA) (En,Fr,Es,Pt) (Disc 2) (Bonus PSone Codes!) (Unl)	N/A	N/A	N/A	N/A	N/A	N/A	Action Replay 2 (USA) (En,Fr,Es,Pt) (Disc 2) (Bonus PSone Codes!) (Unl)	ARCDX.EXE / FILL1.BIN / FILL2.BIN / FILL3.BIN / FILL4.BIN / FILL5.BIN / FILL6.BIN / FILL7.BIN / FILL8.BIN / SYSTEM.CNF	N/A	2002-11-13-17-07-56-77	N/A
Action_Replay_2_Code_Archive_Disk_(Germany)_(Disc_2)_(German_Edition)_(Unl)	Action Replay 2 Code Archive Disk (Germany) (Disc 2) (German Edition) (Unl)	N/A	N/A	N/A	N/A	N/A	N/A	Action Replay 2 Code Archive Disk (Germany) (Disc 2) (German Edition) (Unl)	AR2GUIDE.STR / PSXMAIN.EXE / SYSTEM.CNF	N/A	2001-01-23-09-22-17-87	N/A
Action_Replay_2_V2_(USA)_(Disc_2)_(Bonus_PSone_Codes)_(Unl)	Action Replay 2 V2 (USA) (Disc 2) (Bonus PSone Codes) (Unl)	N/A	N/A	N/A	N/A	N/A	N/A	Action Replay 2 V2 (USA) (Disc 2) (Bonus PSone Codes) (Unl)	INTRO.STR / PSXMAIN.EXE / SYSTEM.CNF	N/A	2001-06-18-11-45-50-85	N/A
Action_Replay_2_Version_2.23_(Europe)_(En,Fr,De,It)_(Disc_2)_(Bonus_PSone_Codes!)_(Unl)	Action Replay 2 Version 2.23 (Europe) (En,Fr,De,It) (Disc 2) (Bonus PSone Codes!) (Unl)	N/A	N/A	N/A	N/A	N/A	N/A	Action Replay 2 Version 2.23 (Europe) (En,Fr,De,It) (Disc 2) (Bonus PSone Codes!) (Unl)	CAD_DE.STR / CAD_FR.STR / CAD_IT.STR / CAD_UK.STR / PADDING.STR / PSXMAIN.EXE / SYSTEM.CNF	N/A	2001-11-05-12-09-23-80	N/A
Action_Replay_CDX_Version_3.3_(France)_(Unl)	Action Replay CDX Version 3.3 (France) (Unl)	N/A	N/A	N/A	N/A	N/A	N/A	Action Replay CDX Version 3.3 (France) (Unl)	ARCD.EXE / SYSTEM.CNF	N/A	1999-07-16-15-14-33-00	990716_1514
Action_Replay_Ultimate_Codes_for_Final_Fantasy_Compilation_Pack_(USA)_(Unl)	Action Replay Ultimate Codes for Final Fantasy Compilation Pack (USA) (Unl)	N/A	N/A	N/A	N/A	N/A	N/A	Action Replay Ultimate Codes for Final Fantasy Compilation Pack (USA) (Unl)	EQCDX.EXE / FILL1.BIN / FILL10.BIN / FILL2.BIN / FILL3.BIN / FILL4.BIN / FILL5.BIN / FILL6.BIN / FILL7.BIN / FILL8.BIN / FILL9.BIN / SYSTEM.CNF	N/A	2004-06-28-17-24-40-97	N/A
Action_Replay_for_PSX_&_PSone_(USA)_(Unl)	Action Replay for PSX & PSone (USA) (Unl)	N/A	N/A	N/A	N/A	N/A	N/A	Action Replay for PSX & PSone (USA) (Unl)	ARCDX.EXE / FILL1.BIN / FILL2.BIN / FILL3.BIN / FILL4.BIN / FILL5.BIN / FILL6.BIN / FILL7.BIN / FILL8.BIN / SYSTEM.CNF	N/A	2002-11-13-16-59-14-64	N/A
Aeon_Flux_(USA)_(Proto)	Aeon Flux (USA) (Proto)	N/A	N/A	N/A	N/A	N/A	N/A	Aeon Flux (USA) (Proto)	E_F_01.TRK / E_F_02.TRK / E_F_03.TRK / E_F_04.TRK / E_F_05.TRK / PSX.EXE	N/A	1996-11-21-14-49-33-00	N/A
