ID	title	language	region	release_date	serial
DS000101	FreeLoader for Nintendo Wii	N/A	NTSC-U	N/A	DS000101
DS000102	FreeLoader for Nintendo Wii	N/A	PAL	N/A	DS000102
DS000103	FreeLoader for Nintendo Wii	N/A	NTSC-J	N/A	DS000103
RVL-007E-USA	Wii Auto Erase Disc	English	NTSC-U	N/A	RVL-007E-USA
RVL-091E-USA	Movie-Ch Install Disc Ver. A	English / French / Spanish	NTSC-U	N/A	RVL-091E-USA
RVL-410E-USA	Wii Back Up Disc Ver. 1.31	English	NTSC-U	N/A	RVL-410E-USA
RVL-413E-USA	DiscUpdate Disc (WiiMenu 3.0U)	English	NTSC-U	N/A	RVL-413E-USA
RVL-D2AJ-JPN	Minna de Bouken! Family Trainer	N/A	NTSC-J	N/A	RVL-D2AJ-JPN
RVL-D2SE-USA	Deca Sports 2	English / French / Spanish	NTSC-U	N/A	RVL-D2SE-USA
RVL-D3DE-USA	Deca Sports 3	English / French / Spanish	NTSC-U	N/A	RVL-D3DE-USA
RVL-DASE-USA	Disney Epic Mickey	English	NTSC-U	N/A	RVL-DASE-USA
RVL-DAVE-USA	Mystery Case Files: The Malgrave Incident	English	NTSC-U	N/A	RVL-DAVE-USA
RVL-DAXE-USA	The Legend of Zelda: Skyward Sword	English / French / Spanish	NTSC-U	N/A	RVL-DAXE-USA
RVL-DAXP-EUR	The Legend of Zelda: Skyward Sword	English / French / German / Italian / Spanish	PAL	N/A	RVL-DAXP-EUR
RVL-DBBE-USA	Beyblade: Metal Fusion: Battle Fortress	English / French / Spanish	NTSC-U	N/A	RVL-DBBE-USA
RVL-DBKE-USA	Boom Blox	English / French / Spanish	NTSC-U	N/A	RVL-DBKE-USA
RVL-DBKP-EUR	Boom Blox	English / French / German / Italian / Spanish	PAL	N/A	RVL-DBKP-EUR
RVL-DCAE-USA	Calling	English / French / Spanish	NTSC-U	N/A	RVL-DCAE-USA
RVL-DCHE-USA	We Cheer	English	NTSC-U	N/A	RVL-DCHE-USA
RVL-DCHJ-JPN	Oha Suta Produce! Gentei Collabo Game Disc!!	Japanese	NTSC-J	N/A	RVL-DCHJ-JPN
RVL-DD2P-EUR	Just Dance 2	English / French / German / Italian / Spanish	PAL	N/A	RVL-DD2P-EUR
RVL-DDNE-USA	Just Dance	English / French / Spanish	NTSC-U	N/A	RVL-DDNE-USA
RVL-DDWE-USA	Lost in Shadow	English / French / Spanish	NTSC-U	N/A	RVL-DDWE-USA
RVL-DDWX-USA	Lost in Shadow	English / French / Spanish	NTSC-U	N/A	RVL-DDWX-USA
RVL-DHHJ-JPN	Hirano Aya Premium Movie Disc from Suzumiya Haruhi no Gekidou	Japanese	NTSC-J	N/A	RVL-DHHJ-JPN
RVL-DHKE-USA	Help Wanted	English / French / Spanish	NTSC-U	N/A	RVL-DHKE-USA
RVL-DK6E-USA	Marble Saga: Kororinpa	English / Spanish	NTSC-U	N/A	RVL-DK6E-USA
RVL-DK6J-JPN	Kororinpa 2: Anthony to Kin'iro Himawari no Tane	Japanese	NTSC-J	N/A	RVL-DK6J-JPN
RVL-DMHE-USA	Monster Hunter Tri	English	NTSC-U	N/A	RVL-DMHE-USA
RVL-DMHJ-JPN	Monster Hunter 3 tri-	Japanese	NTSC-J	N/A	RVL-DMHJ-JPN
RVL-DPIE-USA	Oops! Prank Party	English / French / Spanish	NTSC-U	N/A	RVL-DPIE-USA
RVL-DQAJ-JPN	Aquarius Baseball: Genkai no, Sono Saki e.	Japanese	NTSC-J	N/A	RVL-DQAJ-JPN
RVL-DQGP-EUR	MySims Racing	Dutch / English / French / German / Italian / Spanish	PAL	N/A	RVL-DQGP-EUR
RVL-DRME-USA	Rooms: The Main Building	English / French / Spanish	NTSC-U	N/A	RVL-DRME-USA
RVL-DSFE-USA	Muramasa: The Demon Blade	English	NTSC-U	N/A	RVL-DSFE-USA
RVL-DSRJ-JPN	Sonic to Himitsu no Ring	N/A	NTSC-J	N/A	RVL-DSRJ-JPN
RVL-DTOJ-JPN	428: Fuusa Sareta Shibuya de	Japanese	NTSC-J	N/A	RVL-DTOJ-JPN
RVL-DTZJ-JPN	Takarajima Z: Barbaros no Hihou	Japanese	NTSC-J	N/A	RVL-DTZJ-JPN
RVL-DWEJ-JPN	Winning Eleven Play Maker 2008	Japanese	NTSC-J	N/A	RVL-DWEJ-JPN
RVL-DWEP-EUR	PES 2008: Pro Evolution Soccer	English / French / German / Italian / Portuguese / Spanish	PAL	N/A	RVL-DWEP-EUR
RVL-DXSE-USA	Deca Sports	English	NTSC-U	N/A	RVL-DXSE-USA
RVL-DZDE-USA	The Legend of Zelda: Twilight Princess	English	NTSC-U	N/A	RVL-DZDE-USA
RVL-R22E-USA	FlingSmash	English / French / Spanish	NTSC-U	N/A	RVL-R22E-USA
RVL-R22J-JPN	Tataite Hazumu: Super Smash Ball Plus	Japanese	NTSC-J	N/A	RVL-R22J-JPN
RVL-R22P-EUR	FlingSmash	English / French / German / Italian / Spanish	PAL	N/A	RVL-R22P-EUR
RVL-R23E-USA	Barbie and the Three Musketeers	English / French	NTSC-U	N/A	RVL-R23E-USA
RVL-R23P-EUR	Barbie and the Three Musketeers	Dutch / English / French / German / Italian / Spanish	PAL	N/A	RVL-R23P-EUR
RVL-R24J-JPN	Chibi-Robo!	Japanese	NTSC-J	N/A	RVL-R24J-JPN
RVL-R25E-USA	LEGO Harry Potter: Years 1-4	English / French / Spanish	NTSC-U	N/A	RVL-R25E-USA
RVL-R25P-EUR	LEGO Harry Potter: Years 1-4	Danish / English / French / German / Italian / Spanish	PAL	N/A	RVL-R25P-EUR
RVL-R26E-USA	Data East Arcade Classics	English	NTSC-U	N/A	RVL-R26E-USA
RVL-R27E-USA	Nickelodeon Dora the Explorer: Dora Saves the Crystal Kingdom	English / French	NTSC-U	N/A	RVL-R27E-USA
RVL-R27X-EUR	Nickelodeon Dora the Explorer: Dora Saves the Crystal Kingdom	Dutch / English / French	PAL	N/A	RVL-R27X-EUR
RVL-R28E-USA	Top Spin 4	English / French / Spanish	NTSC-U	N/A	RVL-R28E-USA
RVL-R28P-EUR	Top Spin 4	English / French / German / Italian / Spanish	PAL	N/A	RVL-R28P-EUR
RVL-R29E-USA	NPPL Championship Paintball 2009	English	NTSC-U	N/A	RVL-R29E-USA
RVL-R29P-EUR	The Millennium European Paintball Series: Championship Paintball 2009	English	PAL	N/A	RVL-R29P-EUR
RVL-R2AE-USA	Ice Age 2: The Meltdown	English	NTSC-U	N/A	RVL-R2AE-USA
RVL-R2AP-UKV	Ice Age 2: The Meltdown	English	PAL	N/A	RVL-R2AP-UKV
RVL-R2AX-EUR	Ice Age 2: The Meltdown	Dutch / English / French / German / Italian / Spanish	PAL	N/A	RVL-R2AX-EUR
RVL-R2DE-USA	Dokapon Kingdom	English	NTSC-U	N/A	RVL-R2DE-USA
RVL-R2DJ-JPN	Dokapon Kingdom for Wii	Japanese	NTSC-J	N/A	RVL-R2DJ-JPN
RVL-R2DP-EUR	Dokapon Kingdom	Dutch / English / French / German / Italian / Spanish	PAL	N/A	RVL-R2DP-EUR
RVL-R2EJ-JPN	Fish Eyes Wii	Japanese	NTSC-J	N/A	RVL-R2EJ-JPN
RVL-R2FE-USA	Freddi Fish: Kelp Seed Mystery	English	NTSC-U	N/A	RVL-R2FE-USA
RVL-R2FP-EUR	Freddi Fish: The Case of the Missing Kelp Seeds	Dutch / English / French / German / Norwegian / Swedish	PAL	N/A	RVL-R2FP-EUR
RVL-R2GE-USA	Fragile Dreams: Farewell Ruins of the Moon	English / French / Japanese	NTSC-U	N/A	RVL-R2GE-USA
RVL-R2GJ-JPN	Fragile: Sayonara Tsuki no Haikyo	Japanese	NTSC-J	N/A	RVL-R2GJ-JPN
RVL-R2GP-EUR	Fragile Dreams: Farewell Ruins of the Moon	English / French / German / Japanese	PAL	N/A	RVL-R2GP-EUR
RVL-R2HE-USA	Petz: Horse Club	English	NTSC-U	N/A	RVL-R2HE-USA
RVL-R2IE-USA	Madden NFL 10	English	NTSC-U	N/A	RVL-R2IE-USA
