ID	title	language	region	release_date	serial
AC-001	Dave Mirra Freestyle BMX 2	English	NTSC-U	2001-09-06	AC-001
AC-002	All-Star Baseball 2003	English	NTSC-U	2002-02-25	AC-002
AC-003	Legends of Wrestling	English	NTSC-U	2002-05-28	AC-003
AC-004	Turok: Evolution	English	NTSC-U	2002-09-01	AC-004
AC-005	Vexx	English	NTSC-U	2003-02-10	AC-005
AC-006	Burnout	English	NTSC-U	2002-04-30	AC-006
AC-007	Aggressive Inline	English / French / German / Spanish	NTSC-U	2002-05-29	AC-007
AC-010	ATV: Quad Power Racing 2	English / French / German / Italian / Spanish	NTSC-U	2003-01	AC-010
AC-011	Speed Kings	English / French / German / Italian / Spanish	NTSC-U	2003	AC-011
AC-012	Urban Freestyle Soccer	English / French / German / Italian / Spanish	PAL	2004-02-13	AC-012
AC-013	AFL Live 2003	English	PAL	2002-09	AC-013
AC-014	BMX XXX	English	NTSC-U	2002-11-10	AC-014
AC-015	Legends of Wrestling II	English	NTSC-U	2002-11-25	AC-015
AC-016	SX Superstar	English	NTSC-U	2003-06-30	AC-016
AC-019	NBA Jam	English / French / German	NTSC-U	2003	AC-019
AC-020	XGRA: Extreme G Racing Association	English / French / German / Italian / Spanish	NTSC-U	2003	AC-020
AC-022	Alias	English / French / German / Italian / Spanish	NTSC-U	2004	AC-022
AC-023	Dakar 2: The World's Ultimate Rally	English / French / German / Italian / Spanish	NTSC-U	2003	AC-023
AC-024	All-Star Baseball 2004	N/A	NTSC-U	2003-02-23	AC-024
AC-025	Burnout 2: Point of Impact	English	NTSC-U	2002-10	AC-025
AC-026	Gladiator: Sword of Vengeance	English / French / German / Italian / Spanish	NTSC-U	2003	AC-026
AC-027	AFL Live 2004	English	PAL	2003	AC-027
AC-028	All-Star Baseball 2005	English	NTSC-U	2004-03-23	AC-028
AC-029	Showdown: Legends of Wrestling	English	NTSC-U	2004-06-22	AC-029
AC-031	WCR: World Championship Rugby	English / French	PAL	2004	AC-031
AC-035	AFL Live Premiership Edition	English	PAL	2004-04-29	AC-035
AC-126	The Red Star	English	NTSC-U	2007-04-23	AC-126
AD-002	Pump It Up: Exceed	N/A	NTSC-U	2005-09-08	AD-002
AH-002	Playboy: The Mansion	English	NTSC-U	2005-01-25	AH-002
AP-001	Tenerezza	Japanese	NTSC-J	2003-01-30	AP-001
AQ-001	Petit Copter	Japanese	NTSC-J	2002-05-30	AQ-001
AQ-002	Flight Academy	N/A	NTSC-J	2002-08-29	AQ-002
AQ-003	Sentou Yousei Yukikaze: Yousei no Mau Sora	N/A	NTSC-J	2003-08-07	AQ-003
AS-001	Break Nine: World Billiards Tournament	N/A	NTSC-J	2002-07-25	AS-001
AT-001	Touge R	N/A	NTSC-J	2002-12-12	AT-001
AT-002	Shin Megami Tensei: Nine	Japanese	NTSC-J	2002-12-05	AT-002
AT-003	Pro Fishing Challenge	N/A	NTSC-U	2004	AT-003
AT-004	Galleon	N/A	NTSC-U	2004-06-11	AT-004
AV-001	Tony Hawk's Pro Skater 2x	English	NTSC-U	2001-11-12	AV-001
AV-002	Kelly Slater's Pro Surfer	English / French / German	NTSC-U	2002	AV-002
AV-003	Street Hoops	English	NTSC-U	2002	AV-003
AV-004	Tony Hawk's Pro Skater 3	English	NTSC-U	2001-10-30	AV-004
AV-005	Blade II	English / French	NTSC-U	2002	AV-005
AV-006	Spider-Man	English	NTSC-U	2002-04-16	AV-006
AV-007	X-Men: Next Dimension	English	NTSC-U	2002	AV-007
AV-008	X2: Wolverine's Revenge	French / German / Italian	NTSC-U	2003	AV-008
AV-009	Rally Fusion: Race of Champions	English / French / German	NTSC-U	2002-11-12	AV-009
AV-010	Wreckless: The Yakuza Missions	English	NTSC-U	2002	AV-010
AV-011	Mat Hoffman's Pro BMX 2	English	NTSC-U	2002	AV-011
AV-012	Wreckless: The Yakuza Missions	German	PAL	2002	AV-012
AV-013	Wakeboarding Unleashed featuring Shaun Murray	English	NTSC-U	2003-06-03	AV-013
AV-014	True Crime: Streets of LA	English	NTSC-U	2003-11-04	AV-014
AV-015	Star Wars: Obi-Wan	English	PAL	2001-12-21	AV-015
AV-016	Return to Castle Wolfenstein: Tides of War	English	NTSC-U	2003-05-06	AV-016
AV-020	Minority Report: Le Futur vous Rattrape	German	PAL	2002-12-06	AV-020
AV-021	Star Wars: Jedi Knight II: Jedi Outcast	German	PAL	2002-11-22	AV-021
AV-023	Tony Hawk's Pro Skater 4	English	NTSC-U	2002	AV-023
AV-024	Pitfall: The Lost Expedition	English	NTSC-U	2004-02-18	AV-024
AV-025	Cabela's Dangerous Hunts	English	NTSC-U	2003-11-11	AV-025
AV-026	I Fantastici 4	Italian	PAL	2005-07-13	AV-026
AV-027	Soldier of Fortune II: Double Helix	English	NTSC-U	2002-05-21	AV-027
AV-030	X-Men Legends	English	NTSC-U	2004-09-21	AV-030
AV-031	Una Serie de Catastróficas Desdichas de Lemony Snicket	Spanish	PAL	2004-11-26	AV-031
AV-032	Doom 3	English	NTSC-U	2005-04-03	AV-032
AV-034	MTX Mototrax	English / French	NTSC-U	2004	AV-034
AV-038	Tenchu: Return from Darkness	English	NTSC-U	2004-03-09	AV-038
AV-039	Disney's Extreme Skate Adventure	French / German	NTSC-U	2003	AV-039
AV-042	Call of Duty: Finest Hour	English	NTSC-U	2004-11-16	AV-042
AV-043	Spider-Man 2	English	NTSC-U	2004-06-29	AV-043
AV-045	Tony Hawk's Underground	English	NTSC-U	2003-10-28	AV-045
AV-048	Cabela's Deer Hunt: 2004 Season	N/A	NTSC-U	2003-08-26	AV-048
AV-053	Ultimate Spider-Man	French / German / Italian / Spanish	NTSC-U	2005	AV-053
AV-054	Tenchu: Return from Darkness	English / French	PAL	2004-03-09	AV-054
AV-055	Shrek 2	English	PAL	2004-05-04	AV-055
AV-056	DreamWorks Shark Tale: Hajar som Hajar	English	PAL	2004-09-29	AV-056
AV-058	Rapala Pro Fishing	English	NTSC-U	2004	AV-058
AV-059	DreamWorks Madagascar	English	NTSC-U	2005-05-24	AV-059
AV-060	Tony Hawk's Underground 2	English / French / German	NTSC-U	2004	AV-060
AV-061	American Chopper	English	NTSC-U	2004-12-03	AV-061
AV-062	Cabela's Big Game Hunter 2005 Adventures	English	NTSC-U	2004-09-01	AV-062
AV-063	Cabela's Deer Hunt: 2005 Season	English	NTSC-U	2004-08-27	AV-063
AV-064	Bicycle Casino	English	NTSC-U	2004-10-26	AV-064
AV-065	Monster Garage	N/A	NTSC-U	2004-01-26	AV-065
AV-066	Greg Hastings' Tournament Paintball	English	NTSC-U	2004-11-16	AV-066
AV-069	True Crime: New York City	German	NTSC-U	2005-11-16	AV-069
AV-070	X-Men: The Official Game	English	NTSC-U	2006-03-19	AV-070
AV-071	X-Men Legends II: Rise of Apocalypse	English	NTSC-U	2005-09-20	AV-071
AV-072	DreamWorks Shrek: SuperSlam	English	NTSC-U	2005-10-25	AV-072
AV-073	Tony Hawk's American Wasteland	English / French / German / Italian / Spanish	NTSC-U	2005-10-18	AV-073
AV-075	Gun	English / French / Italian / Spanish	NTSC-U	2002-03-19	AV-075
AV-077	Cabela's Outdoor Adventures	English	NTSC-U	2005	AV-077
AV-078	Doom 3: Resurrection of Evil	English / French / Italian / Spanish	NTSC-U	2005-04-03	AV-078
AV-079	American Chopper 2: Full Throttle	English	NTSC-U	2005-11-08	AV-079
AV-080	SeaWorld Adventure Parks: Shamu's Deep Sea Adventures	English	NTSC-U	2005-11-01	AV-080
